,university,career,inscription_date,last_name,first_name,gender,age,location,email,postal_code
43,universidad tecnológica nacional,licenciatura en sociología,2020-09-02,ryan bowen,nan,male,40.0,barrio_carosio,tyrone84@hotmail.com,6000
44,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-07,mark hernandez,nan,male,67.0,nonogasta,pattersonstephanie@yahoo.com,5372
45,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-06,jessica richardson,nan,female,49.0,bajo_de_las_palomas,hansondavid@gmail.com,6313
46,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-24,cameron lynch,nan,male,114.0,calderon,kentbrandon@hotmail.com,8101
47,universidad tecnológica nacional,licenciatura en administración,2020-09-09,emily jones,nan,female,36.0,agua_blanca,monicabeasley@yahoo.com,4168
48,universidad tecnológica nacional,licenciatura en administración,2020-09-09,emily jones,nan,female,36.0,agua_blanca,monicabeasley@yahoo.com,5301
49,universidad tecnológica nacional,licenciatura en administración,2020-09-09,emily jones,nan,female,36.0,agua_blanca,monicabeasley@yahoo.com,5471
50,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-10-06,julian green,nan,male,104.0,paso_de_los_andes,sgentry@gmail.com,5503
51,universidad tecnológica nacional,contador público,2020-09-24,dennis hurst,nan,male,68.0,colonia_reina_margarita,rebecca05@hotmail.com,2309
52,universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-16,chelsea white,nan,female,82.0,leubuco,tina40@gmail.com,6338
53,universidad tecnológica nacional,arquitectura,2020-12-29,antonio patel,nan,male,90.0,bosques,irodriguez@gmail.com,1889
54,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-17,tyler reed,nan,male,101.0,cuenca,xhernandez@hotmail.com,6231
55,universidad tecnológica nacional,diseño de imagen y sonido,2020-10-21,emily hall,nan,female,79.0,dina_huapi,vicki56@yahoo.com,8402
56,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021-01-08,javier cobb dvm,nan,male,108.0,alejandro_petion,loriford@yahoo.com,1808
57,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-08,christina porter,nan,female,35.0,pozo_navagan,meltonstephen@hotmail.com,3621
58,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,jessica mccall,nan,female,106.0,chañarcito,brianrobinson@hotmail.com,4707
59,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-24,jared larson,nan,male,25.0,carbometal,taylor96@gmail.com,5505
60,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,darren lee md,nan,male,52.0,arroyo_palmar,evanskatherine@yahoo.com,3218
61,universidad tecnológica nacional,bioquímica,2020-10-28,jay conway,nan,male,22.0,colonia_la_oracion,karenmendoza@yahoo.com,6307
62,universidad tecnológica nacional,contador público,2020-12-13,jon gordon,nan,male,60.0,bajastine,agonzalez@yahoo.com,4164
63,universidad tecnológica nacional,técnico para bioterios,2020-10-03,anthony johnson,nan,male,105.0,encina,eryan@hotmail.com,6077
64,universidad tecnológica nacional,licenciatura en psicología,2020-09-11,greg wells,nan,male,81.0,claudio_c_molina,trodriguez@hotmail.com,7515
65,universidad tecnológica nacional,diseño de imagen y sonido,2020-09-29,aaron vance,nan,male,92.0,campo_medina,dnavarro@hotmail.com,2142
66,universidad tecnológica nacional,ingeniería en informática,2021-01-16,dale martinez,nan,male,115.0,13_de_enero,pstanton@hotmail.com,5741
67,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,dale huynh,nan,male,29.0,colonia_matilde,wsingh@hotmail.com,3013
68,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-25,timothy norman,nan,male,91.0,el_jumeal,tnichols@yahoo.com,5365
69,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-31,paul evans,nan,male,70.0,aguada_de_la_peña,zking@hotmail.com,5461
70,universidad tecnológica nacional,licenciatura en ciencia política,2020-09-05,christian sanders,nan,male,36.0,coronel_charlone,fwiggins@yahoo.com,6223
71,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-09,nicole wells,nan,female,101.0,barlett,gailunderwood@yahoo.com,2175
72,universidad tecnológica nacional,licenciatura en sociología,2020-09-12,george thompson,nan,male,81.0,azul,andrewsnyder@hotmail.com,7300
73,universidad tecnológica nacional,diseño de imagen y sonido,2020-11-26,joseph wall,nan,male,72.0,los_molinos,gtucker@yahoo.com,2181
74,universidad tecnológica nacional,contador público,2020-11-12,tiffany molina,nan,female,71.0,algarrobal_abajo,brianduncan@hotmail.com,5541
75,universidad tecnológica nacional,farmacia,2020-11-26,julia lopez,nan,female,17.0,blanca_grande,kray@gmail.com,6561
76,universidad tecnológica nacional,agronomía,2020-10-10,benjamin moore,nan,male,92.0,cailomuta,richardsonashley@gmail.com,6339
77,universidad tecnológica nacional,diseño de imagen y sonido,2021-01-25,steven sexton,nan,male,65.0,aero_club_canal,hendersonlinda@hotmail.com,2823
78,universidad tecnológica nacional,farmacia,2020-10-22,margaret johnson,nan,female,101.0,colonia_sere,rioskevin@yahoo.com,6459
79,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-10-27,john smith,nan,male,51.0,azteazu,vegajuan@yahoo.com,6365
80,universidad tecnológica nacional,licenciatura en ciencia política,2020-11-11,paul johnson,nan,male,37.0,carbometal,emilydonaldson@hotmail.com,5505
81,universidad tecnológica nacional,actuario,2021-01-02,leah williams,nan,female,20.0,cabaña_el_cisne,trevinokenneth@gmail.com,2322
82,universidad tecnológica nacional,ingeniería mecánica,2020-10-25,zachary hurley,nan,male,112.0,ambrosio_p_lezica,john64@gmail.com,8508
83,universidad tecnológica nacional,licenciatura en administración,2020-11-22,isabella gibson,nan,female,21.0,cazon,luis27@gmail.com,7265
84,universidad tecnológica nacional,bioquímica,2020-09-06,mark estrada,nan,male,41.0,dock_sud,collin60@yahoo.com,1871
85,universidad tecnológica nacional,actuario,2020-10-01,hunter buck,nan,male,48.0,longchamps,wdudley@gmail.com,1854
86,universidad tecnológica nacional,medicina,2021-01-12,christine huerta,nan,female,75.0,el_potrero,justin29@gmail.com,5321
87,universidad tecnológica nacional,diseño industrial,2020-12-18,felicia bautista,nan,female,74.0,casablanca,robert75@hotmail.com,2317
88,universidad tecnológica nacional,diseño de imagen y sonido,2020-12-30,david yu,nan,male,112.0,villa_hipodromo,jwillis@yahoo.com,5547
89,universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-20,maria hale,nan,female,46.0,los_cardos,friedmankristen@hotmail.com,2533
90,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-11,katelyn white,nan,female,39.0,carrizales,jaimerivers@gmail.com,2218
91,universidad tecnológica nacional,agronomía,2020-09-15,mark cook,nan,male,103.0,ingeniero_de_madrid,kellymartinez@yahoo.com,6651
92,universidad tecnológica nacional,ingeniería electrónica,2021-01-16,margaret chavez,nan,female,75.0,alto_verde,iyoung@gmail.com,2801
93,universidad tecnológica nacional,ingeniería electrónica,2021-01-16,margaret chavez,nan,female,75.0,alto_verde,iyoung@gmail.com,3001
94,universidad tecnológica nacional,ingeniería electrónica,2021-01-16,margaret chavez,nan,female,75.0,alto_verde,iyoung@gmail.com,4153
95,universidad tecnológica nacional,ingeniería electrónica,2021-01-16,margaret chavez,nan,female,75.0,alto_verde,iyoung@gmail.com,4608
96,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-12,malik ball,nan,male,109.0,villa_adelina,zaguilar@gmail.com,1607
97,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-30,mike kim,nan,male,100.0,valle_hondo,brownzachary@gmail.com,9221
98,universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-04,emma jackson,nan,female,36.0,kilometro_125,mackamanda@yahoo.com,6600
99,universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-04,emma jackson,nan,female,36.0,kilometro_125,mackamanda@yahoo.com,6720
100,universidad tecnológica nacional,ingeniería mecánica,2020-09-04,jeffrey sandoval,nan,male,57.0,perez,tammy71@hotmail.com,2121
101,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-10-30,betty bishop,nan,female,38.0,agrelo,kristen05@yahoo.com,5509
102,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-26,tammy petersen,nan,female,17.0,caminera_samborombon,acarter@gmail.com,7130
103,universidad tecnológica nacional,arquitectura,2020-09-30,justin lopez,nan,male,19.0,el_trebol,lauragriffith@yahoo.com,2535
104,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-02,megan booker,nan,female,66.0,arbol_solo,kingchase@gmail.com,3230
105,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-02,megan booker,nan,female,66.0,arbol_solo,kingchase@gmail.com,3513
106,universidad tecnológica nacional,licenciatura en administración,2020-11-01,jose ewing,nan,male,34.0,alizal,zblankenship@gmail.com,4122
107,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-11-26,tiffany bates,nan,female,113.0,cascada,grichards@gmail.com,7547
108,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-06,russell gomez,nan,male,58.0,boliche_lata,rogersdouglas@hotmail.com,3449
109,universidad tecnológica nacional,licenciatura en ciencia política,2020-12-21,desiree edwards,nan,female,112.0,acostilla,tdodson@hotmail.com,4113
110,universidad tecnológica nacional,licenciatura en ciencia política,2020-12-21,desiree edwards,nan,female,112.0,acostilla,tdodson@hotmail.com,4701
111,universidad tecnológica nacional,técnico para bioterios,2021-01-15,thomas thompson,nan,male,69.0,amalia,amy82@hotmail.com,6516
112,universidad tecnológica nacional,licenciatura en administración,2020-12-11,samantha briggs,nan,female,113.0,san_antonio_de_obligado,mia12@hotmail.com,3587
113,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-11-19,stacey lee,nan,female,18.0,benitez,chavezmichael@hotmail.com,6632
114,universidad tecnológica nacional,contador público,2020-10-08,katie cain,nan,female,89.0,cañada_de_gomez,brian98@gmail.com,2500
115,universidad tecnológica nacional,diseño industrial,2021-01-27,tony hall,nan,male,17.0,4_de_noviembre,ksmith@hotmail.com,2707
116,universidad tecnológica nacional,ingeniería en informática,2020-09-14,troy martin,nan,male,105.0,abra_guazu,kurtroberson@gmail.com,3197
117,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-09,christopher everett,nan,male,86.0,cazon,qlucas@hotmail.com,7265
118,universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-11-10,jason rice,nan,male,35.0,apoyaco,stevenjames@yahoo.com,5317
119,universidad tecnológica nacional,farmacia,2021-01-29,john williams,nan,male,49.0,angostura,cynthiacarlson@hotmail.com,3481
120,universidad tecnológica nacional,farmacia,2021-01-29,john williams,nan,male,49.0,angostura,cynthiacarlson@hotmail.com,9105
121,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-24,kristen brown,nan,female,62.0,alvarez,ygomez@hotmail.com,2107
122,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-09-26,mrs. crystal miller,nan,female,114.0,arroyo_corralito,andrewthompson@hotmail.com,3122
123,universidad tecnológica nacional,ingeniería electrónica,2020-12-16,leslie harris,nan,female,107.0,16_de_julio,ericalewis@gmail.com,7313
124,universidad tecnológica nacional,medicina,2020-11-02,amy warner,nan,female,54.0,arana,robertphelps@hotmail.com,1909
125,universidad tecnológica nacional,licenciatura en psicología,2020-12-09,jennifer schroeder,nan,female,28.0,agua_linda,ebraun@hotmail.com,5753
126,universidad tecnológica nacional,actuario,2020-12-25,sydney jackson,nan,female,77.0,kilometro_47,austinhannah@gmail.com,5624
127,universidad tecnológica nacional,licenciatura en administración,2021-01-29,jason austin,nan,male,72.0,ireneo_portela,cooperchelsea@gmail.com,2943
128,universidad tecnológica nacional,licenciatura en administración,2020-09-14,jacob white,nan,male,102.0,cara_mala,david71@yahoo.com,9313
129,universidad tecnológica nacional,ciencias veterinarias,2020-12-07,dylan brown,nan,male,65.0,villa_lerga,heidihuang@gmail.com,5424
130,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-13,andrew mcdonald,nan,male,87.0,san_marcelo,megangray@yahoo.com,6009
131,universidad tecnológica nacional,licenciatura en psicología,2020-10-12,karen wagner,nan,female,90.0,las_hermanas,hayesmary@gmail.com,7412
132,universidad tecnológica nacional,ingeniería mecánica,2021-01-11,christopher rivera,nan,male,106.0,dos_hermanos,dawn99@hotmail.com,6042
133,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-20,holly obrien,nan,female,77.0,grutly,joanfrost@gmail.com,3083
134,universidad tecnológica nacional,licenciatura en psicología,2020-09-28,amy hanson,nan,female,102.0,12_de_octubre,chelseachavez@gmail.com,5596
135,universidad tecnológica nacional,licenciatura en psicología,2020-09-28,amy hanson,nan,female,102.0,12_de_octubre,chelseachavez@gmail.com,6501
136,universidad tecnológica nacional,ingeniería mecánica,2020-09-06,heather pearson,nan,female,19.0,abra_del_tafi,regina45@yahoo.com,4105
137,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,chase rodriguez,nan,male,49.0,el_carbalino,daniel30@yahoo.com,5592
138,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-11-22,debra taylor,nan,female,81.0,candelaria_sud,donnawalker@gmail.com,2170
139,universidad tecnológica nacional,ciencias veterinarias,2020-11-25,tina garcia,nan,female,112.0,ampacama,zking@yahoo.com,5444
140,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-17,lisa nolan,nan,female,96.0,dho,christine59@gmail.com,3070
141,universidad tecnológica nacional,licenciatura en artes,2021-01-13,jack roberts,nan,male,73.0,lehmann,krystal98@gmail.com,2305
142,universidad tecnológica nacional,ingeniería mecánica,2020-10-09,brandon rhodes,nan,male,79.0,gobernador_lanusse,amandascott@yahoo.com,3376
143,universidad tecnológica nacional,licenciatura en artes,2020-09-21,april swanson,nan,female,73.0,campo_el_bermejo,lopeznicole@yahoo.com,3509
144,universidad tecnológica nacional,agronomía,2020-10-19,edward randolph,nan,male,31.0,estacion_saguier,jleon@gmail.com,2315
145,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-28,jacob cruz,nan,male,76.0,drabble,stonemelissa@yahoo.com,6242
146,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-04,pamela cherry,nan,female,61.0,cañada_la_rica,thomashill@hotmail.com,6625
147,universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-19,mark smith,nan,male,56.0,gobernador_crespo,bgrimes@hotmail.com,3044
148,universidad tecnológica nacional,arquitectura,2020-12-02,denise stephens,nan,female,79.0,barcena,naustin@yahoo.com,4616
149,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-04,brittany boyd,nan,female,33.0,moron,gcunningham@hotmail.com,1708
150,universidad tecnológica nacional,ingeniería mecánica,2021-01-28,christina moses,nan,female,60.0,fortin_chaco,amymiller@hotmail.com,8160
151,universidad tecnológica nacional,arquitectura,2020-12-10,thomas cook,nan,male,103.0,campana,david32@yahoo.com,2804
152,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-10-21,debra perez,nan,female,76.0,chimpay,dawsonleroy@gmail.com,8364
153,universidad tecnológica nacional,licenciatura en psicología,2020-09-29,amy houston,nan,female,112.0,alto_del_saladillo,cathy97@hotmail.com,4500
154,universidad tecnológica nacional,licenciatura en psicología,2020-09-29,amy houston,nan,female,112.0,alto_del_saladillo,cathy97@hotmail.com,4522
155,universidad tecnológica nacional,licenciatura en ciencia política,2021-01-23,john reeves,nan,male,37.0,banfield,melissaodonnell@yahoo.com,1828
156,universidad tecnológica nacional,bioquímica,2020-11-04,stacy smith dds,nan,female,25.0,bravo_del_dos,jodihill@hotmail.com,6411
157,universidad tecnológica nacional,arquitectura,2020-11-12,william jacobson,nan,male,104.0,colonia_berlin,robert57@gmail.com,2313
158,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-16,julie christensen,nan,female,74.0,algarrobal_puisoye,billy46@yahoo.com,3405
159,universidad tecnológica nacional,licenciatura en sociología,2020-09-08,amy shah,nan,female,82.0,alamo,michael95@yahoo.com,3448
160,universidad tecnológica nacional,ingeniería mecánica,2020-09-13,thomas sheppard,nan,male,82.0,el_perdido_est_jose_guisasola,fwilson@yahoo.com,8156
161,universidad tecnológica nacional,bioquímica,2020-12-05,lisa hartman,nan,female,23.0,20_de_septiembre,joshua37@gmail.com,3158
162,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-05,terry zimmerman,nan,female,52.0,la_ines,samuel35@yahoo.com,6100
163,universidad tecnológica nacional,bioquímica,2020-10-10,julie kim,nan,female,33.0,argerich,cunninghammelissa@hotmail.com,8134
164,universidad tecnológica nacional,diseño de imagen y sonido,2020-11-19,mark cervantes md,nan,male,54.0,balneario_chapalco,josephthompson@gmail.com,8132
165,universidad tecnológica nacional,actuario,2020-11-10,mckenzie lynch,nan,female,18.0,colonia_clara,randy39@hotmail.com,3025
166,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-02,christina green,nan,female,16.0,isla_gran_malvina,christopherscott@yahoo.com,9409
167,universidad tecnológica nacional,contador público,2020-09-21,daniel hubbard,nan,male,52.0,balcarce,dukedominic@gmail.com,7620
168,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021-01-09,samantha maxwell,nan,female,95.0,cataratas_del_iguazu,greenmark@gmail.com,3372
169,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-12,steven charles,nan,male,111.0,cululu,kbeasley@gmail.com,3023
170,universidad tecnológica nacional,farmacia,2020-10-04,lisa dyer,nan,female,89.0,barcala,yrosales@yahoo.com,5587
171,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-02,jessica hampton,nan,female,81.0,gonzalez_moreno,goodmanangela@gmail.com,6239
172,universidad tecnológica nacional,diseño industrial,2020-09-25,katie weber,nan,female,96.0,barrio_1_de_mayo,davidmckinney@yahoo.com,1814
173,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-09-18,kathy wright,nan,female,99.0,bouquet,carpenteralex@gmail.com,2523
174,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-11-21,scott wells,nan,male,73.0,la_rosa,perryteresa@yahoo.com,8133
175,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,katie scott,nan,female,104.0,berraondo,heather91@gmail.com,8124
176,universidad tecnológica nacional,medicina,2020-11-27,olivia hodges,nan,female,45.0,cangrejillos,bmiller@gmail.com,4644
177,universidad tecnológica nacional,licenciatura en ciencia política,2020-12-11,glenda barnes,nan,female,55.0,gente_grande,bwilkins@gmail.com,8379
178,universidad tecnológica nacional,licenciatura en administración,2020-10-11,michael wallace,nan,male,38.0,aguas_buenas,pinedaamanda@gmail.com,6228
179,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-14,lance williams,nan,male,102.0,el_duraznillo,katelynmartin@hotmail.com,4722
180,universidad tecnológica nacional,actuario,2020-11-01,kimberly stewart,nan,female,83.0,lierra_adjemiro,stonemichael@gmail.com,2718
181,universidad tecnológica nacional,licenciatura en psicología,2021-01-21,michelle lewis,nan,female,36.0,el_porvenir,dwalker@hotmail.com,3374
182,universidad tecnológica nacional,licenciatura en psicología,2021-01-21,michelle lewis,nan,female,36.0,el_porvenir,dwalker@hotmail.com,9227
183,universidad tecnológica nacional,actuario,2020-10-02,michael frye,nan,male,24.0,san_isidro,edward10@gmail.com,1642
184,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-11-12,david pollard,nan,male,101.0,el_olivo,jjackson@hotmail.com,6203
185,universidad tecnológica nacional,técnico para bioterios,2021-01-27,monica jennings,nan,female,109.0,chovet,jonesandrea@yahoo.com,2633
186,universidad tecnológica nacional,licenciatura en psicología,2021-01-02,jennifer barton,nan,female,91.0,arroyo_manganga,frank11@yahoo.com,3220
187,universidad tecnológica nacional,diseño industrial,2020-09-14,theresa stuart,nan,female,31.0,bajo_guazu,carlsonbrett@gmail.com,3421
188,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-11-04,phillip woods,nan,male,87.0,san_antonio_de_obligado,sarah31@gmail.com,3587
189,universidad tecnológica nacional,bioquímica,2021-01-23,kaylee gonzalez,nan,female,95.0,rio_mayo,tami35@gmail.com,9030
190,universidad tecnológica nacional,arquitectura,2021-01-23,lacey johnson,nan,female,72.0,colonia_lote_12,sabrinahenry@yahoo.com,3543
191,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-15,angela russell,nan,female,109.0,alfredo_demarchi,pennyramirez@yahoo.com,6533
192,universidad tecnológica nacional,licenciatura en ciencias geológicas,2021-01-16,matthew sullivan,nan,male,63.0,barrio_emir_ramon_juarez,kristenpatterson@gmail.com,7600
193,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021-01-21,samantha jimenez,nan,female,102.0,rincon_de_milberg,loweolivia@gmail.com,1648
194,universidad tecnológica nacional,bioquímica,2020-11-27,jorge jackson,nan,male,107.0,dho,maryalexander@gmail.com,3070
195,universidad tecnológica nacional,licenciatura en artes,2020-10-19,dawn hodge,nan,female,95.0,est_jauregui_va_flandria,roger32@gmail.com,6706
196,universidad tecnológica nacional,licenciatura en sociología,2021-01-18,nicholas carter,nan,male,80.0,colonia_duportal,david12@hotmail.com,2845
197,universidad tecnológica nacional,ingeniería en informática,2021-01-31,robert watson,nan,male,48.0,alto_grande,tammybaker@hotmail.com,5572
