,last_name,gender,age,email,birth_date,university,inscription_date,career,first_name,location,postal_code
31,jennifer ellis,female,42,bankschristopher@yahoo.com,1996/06/17,universidad tecnológica nacional,2020-11-13,arquitectura,,gomez,1983
32,robert brown,male,79,cantuthomas@gmail.com,1959/02/08,universidad nacional de jujuy,2021-01-07,ingeniería en informática,,villa angelica,2000
33,frank obrien,male,114,scurry@yahoo.com,1924/11/29,universidad nacional de jujuy,2021-01-11,agronomía,,barrio parque leloir,1713
34,jacob gibson,male,98,beverlytucker@hotmail.com,1939/12/15,universidad tecnológica nacional,2020-09-15,licenciatura en administración,,chillar,7311
35,krystal sanders,female,116,guerratracy@hotmail.com,1922/03/13,universidad tecnológica nacional,2020-10-04,licenciatura en planificación y diseño del paisaje,,el camoati,6537
36,dr. stacie wilson,female,64,bryantsydney@yahoo.com,1974/07/24,universidad nacional de jujuy,2020-12-18,licenciatura en relaciones del trabajo,,la porteña,7241
37,david harris,male,77,charlotte54@hotmail.com,1961/02/25,universidad tecnológica nacional,2021-01-06,licenciatura en sociología,,desvio boero,2415
38,kyle rose,male,117,agilbert@gmail.com,1920/11/28,universidad nacional de jujuy,2020-09-19,ingeniería electrónica,,acostilla,4113
39,jasmine medina,female,111,zachary43@hotmail.com,1926/12/21,universidad nacional de jujuy,2020-12-18,licenciatura en ciencias de la educación,,abramo,8212
40,matthew dunn,male,49,rebecca25@gmail.com,1989/06/13,universidad tecnológica nacional,2020-09-26,ciencias veterinarias,,17 de agosto,3338
41,rebecca padilla,female,36,rhampton@yahoo.com,2002/11/17,universidad nacional de jujuy,2020-12-05,diseño industrial,,25 de mayo,3363
42,melissa swanson,female,38,jenniferstrickland@gmail.com,2000/04/13,universidad nacional de jujuy,2020-10-07,ingeniería electrónica,,azteazu,6365
43,juan hicks,male,83,gibsoncheryl@yahoo.com,1955/12/31,universidad nacional de jujuy,2021-01-24,licenciatura en musicoterapia,,cabi monda,3228
44,kristina bush,female,63,benjamindean@hotmail.com,1974/11/08,universidad nacional de jujuy,2020-09-24,licenciatura en relaciones del trabajo,,cerro de la gloria canal 15,7101
45,thomas hernandez,male,29,dcooper@gmail.com,2009/01/09,universidad tecnológica nacional,2020-09-09,licenciatura en ciencia política,,2 de mayo,3364
46,deborah mclaughlin,female,58,wilsonerin@yahoo.com,1980/05/22,universidad tecnológica nacional,2020-12-03,licenciatura en terapia ocupacional,,las quintas,2200
47,alexandria smith,female,29,jamessilva@yahoo.com,2009/08/16,universidad tecnológica nacional,2020-12-29,licenciatura en planificación y diseño del paisaje,,la colina,6269
48,christina wells,female,129,qwells@yahoo.com,1909/10/05,universidad nacional de jujuy,2020-10-21,farmacia,,colonia lia y allende,8200
49,cassandra mora md,female,20,qmclaughlin@hotmail.com,2018/09/04,universidad tecnológica nacional,2020-12-29,licenciatura en ciencias biológicas,,empalme,1633
50,michael chapman,male,51,natalie99@hotmail.com,1987/08/27,universidad nacional de jujuy,2020-12-23,actuario,,emilio lamarca,8505
51,stacey case,female,79,greenhoward@hotmail.com,1959/02/02,universidad tecnológica nacional,2020-09-21,contador público,,alto nuestra señora del valle,4109
52,jason roberts,male,107,david84@hotmail.com,1931/03/18,universidad tecnológica nacional,2020-09-24,diseño industrial,,arroyo pareja,8111
53,brandon martin,male,112,michellesherman@yahoo.com,1925/11/07,universidad nacional de jujuy,2020-10-20,licenciatura en producción de bioimagenes,,aldea apeleg,9033
54,richard perez,male,28,christopherball@yahoo.com,2010/07/29,universidad nacional de jujuy,2020-11-09,arquitectura,,cespedes,5517
55,james padilla,male,57,marshallbrian@gmail.com,1981/08/05,universidad nacional de jujuy,2020-10-09,licenciatura en ciencias geológicas,,campo crisol,2754
56,marie schwartz,female,72,mosleydavid@hotmail.com,1965/10/21,universidad tecnológica nacional,2020-09-23,licenciatura en ciencias de la educación,,apeadero quiroga,5427
57,caroline humphrey,female,22,gsnyder@hotmail.com,2016/01/18,universidad nacional de jujuy,2020-09-07,licenciatura en musicoterapia,,agua de castilla,4651
58,julie curtis,female,93,ellisanthony@gmail.com,1945/04/20,universidad tecnológica nacional,2020-12-24,licenciatura en relaciones del trabajo,,alianza,8373
59,jamie taylor,female,73,daviseddie@yahoo.com,1965/03/18,universidad nacional de jujuy,2020-12-07,licenciatura en ciencias de la educación,,alejandra,3051
60,chelsea whitaker,female,33,nicolegolden@hotmail.com,2005/02/19,universidad tecnológica nacional,2020-12-24,arquitectura,,cañadon chileno,8417
61,christopher obrien,male,40,dawncole@gmail.com,1998/10/11,universidad nacional de jujuy,2020-10-12,técnico para bioterios,,cañada del ucle,2635
62,julie herrera,female,34,martincharles@hotmail.com,2004/11/06,universidad tecnológica nacional,2020-12-08,licenciatura en producción de bioimagenes,,empalme san carlos,3007
63,anthony ruiz,male,33,kellysamuel@gmail.com,2004/12/07,universidad nacional de jujuy,2020-10-29,bioquímica,,la chirlandia,8203
64,sharon day,female,69,gardnertimothy@gmail.com,1969/06/25,universidad nacional de jujuy,2020-11-10,ingeniería electrónica,,encina,6077
65,ryan bowen,male,58,tyrone84@hotmail.com,1980/03/19,universidad tecnológica nacional,2020-09-02,licenciatura en sociología,,barrio carosio,6000
66,mark hernandez,male,85,pattersonstephanie@yahoo.com,1953/09/22,universidad tecnológica nacional,2021-01-07,licenciatura en producción de bioimagenes,,nonogasta,5372
67,jessica richardson,female,67,hansondavid@gmail.com,1971/04/03,universidad tecnológica nacional,2020-09-06,licenciatura en planificación y diseño del paisaje,,bajo de las palomas,6313
68,cameron lynch,male,132,kentbrandon@hotmail.com,1906/12/03,universidad tecnológica nacional,2020-12-24,licenciatura en ciencia y tecnología de alimentos,,calderon,8101
69,emily jones,female,54,monicabeasley@yahoo.com,1984/07/13,universidad tecnológica nacional,2020-09-09,licenciatura en administración,,agua blanca,4168
70,julian green,male,22,sgentry@gmail.com,2016/05/16,universidad tecnológica nacional,2020-10-06,licenciatura en producción de bioimagenes,,paso de los andes,5503
71,dennis hurst,male,86,rebecca05@hotmail.com,1952/07/04,universidad tecnológica nacional,2020-09-24,contador público,,colonia reina margarita,2309
72,chelsea white,female,100,tina40@gmail.com,1938/06/29,universidad tecnológica nacional,2020-09-16,licenciatura en ciencias de la educación,,leubuco,6338
73,antonio patel,male,108,irodriguez@gmail.com,1930/03/13,universidad tecnológica nacional,2020-12-29,arquitectura,,bosques,1889
74,victoria wolfe,female,36,howardvictor@yahoo.com,2002/05/09,universidad nacional de jujuy,2020-09-23,actuario,,girodias,6407
75,spencer dominguez,male,104,bparsons@hotmail.com,1934/08/03,universidad nacional de jujuy,2020-10-04,licenciatura en ciencia política,,alcaraz 2do,3138
76,tina thomas,female,132,cassiebrewer@yahoo.com,1905/11/27,universidad nacional de jujuy,2020-10-03,licenciatura en ciencias geológicas,,el bombero,7507
77,tyler reed,male,119,xhernandez@hotmail.com,1918/12/06,universidad tecnológica nacional,2020-11-17,licenciatura en producción de bioimagenes,,cuenca,6231
78,emily hall,female,97,vicki56@yahoo.com,1941/10/08,universidad tecnológica nacional,2020-10-21,diseño de imagen y sonido,,dina huapi,8402
79,javier cobb dvm,male,126,loriford@yahoo.com,1912/07/28,universidad tecnológica nacional,2021-01-08,licenciatura en planificación y diseño del paisaje,,alejandro petion,1808
80,debra davis,female,90,mooreandrea@hotmail.com,1948/01/25,universidad nacional de jujuy,2020-10-15,licenciatura en ciencia política,,chañarcito,4707
81,andre anderson,male,72,arivera@hotmail.com,1966/05/04,universidad nacional de jujuy,2020-11-02,medicina,,brea chimpana,4230
82,christina porter,female,53,meltonstephen@hotmail.com,1984/11/23,universidad tecnológica nacional,2020-11-08,licenciatura en kinesiología y fisiatría,,pozo navagan,3621
83,carolyn clark,female,69,jordanleslie@hotmail.com,1969/05/30,universidad nacional de jujuy,2020-09-14,licenciatura en musicoterapia,,colonia centenario,3109
84,jessica mccall,female,24,brianrobinson@hotmail.com,2014/05/31,universidad tecnológica nacional,2021-01-01,licenciatura en ciencias ambientales,,chañarcito,4707
85,jared larson,male,43,taylor96@gmail.com,1994/09/25,universidad tecnológica nacional,2020-09-24,licenciatura en relaciones del trabajo,,carbometal,5505
86,darren lee md,male,70,evanskatherine@yahoo.com,1968/08/14,universidad tecnológica nacional,2021-01-01,licenciatura en ciencias ambientales,,arroyo palmar,3218
87,jay conway,male,40,karenmendoza@yahoo.com,1998/08/13,universidad tecnológica nacional,2020-10-28,bioquímica,,colonia la oracion,6307
88,jon gordon,male,78,agonzalez@yahoo.com,1960/04/20,universidad tecnológica nacional,2020-12-13,contador público,,bajastine,4164
89,jorge miller,male,42,sherri64@hotmail.com,1996/10/18,universidad nacional de jujuy,2021-01-19,diseño de imagen y sonido,,colonia la blanquita,3254
90,anthony johnson,male,123,eryan@hotmail.com,1915/10/03,universidad tecnológica nacional,2020-10-03,técnico para bioterios,,encina,6077
91,andrea molina,female,104,luisconley@gmail.com,1934/05/01,universidad nacional de jujuy,2020-11-27,ingeniería mecánica,,campo el mataco,2342
92,greg wells,male,99,trodriguez@hotmail.com,1938/10/24,universidad tecnológica nacional,2020-09-11,licenciatura en psicología,,claudio c molina,7515
93,aaron vance,male,110,dnavarro@hotmail.com,1927/11/02,universidad tecnológica nacional,2020-09-29,diseño de imagen y sonido,,campo medina,2142
94,jimmy taylor,male,33,xcollins@gmail.com,2004/12/12,universidad nacional de jujuy,2020-09-17,arquitectura,,la union,7160
95,elizabeth cox,female,104,hughesandrew@yahoo.com,1934/05/01,universidad nacional de jujuy,2020-11-06,ingeniería en informática,,cañada,4129
96,stephanie williamson,female,63,patrickcrawford@hotmail.com,1975/02/06,universidad nacional de jujuy,2021-01-15,arquitectura,,aromos,3036
97,derek robinson,male,39,kathleenmitchell@yahoo.com,1999/08/07,universidad nacional de jujuy,2020-11-26,farmacia,,barrio villa saladillo,7260
98,melissa moore,female,82,erin97@yahoo.com,1956/02/04,universidad nacional de jujuy,2021-01-11,licenciatura en ciencia política,,cachiyuyal,5367
99,dale martinez,male,33,pstanton@hotmail.com,2005/08/11,universidad tecnológica nacional,2021-01-16,ingeniería en informática,,13 de enero,5741
100,christopher bennett,male,122,valenzuelacarolyn@yahoo.com,1916/08/04,universidad nacional de jujuy,2021-01-06,licenciatura en terapia ocupacional,,boulogne,1609
101,dale huynh,male,47,wsingh@hotmail.com,1991/04/08,universidad tecnológica nacional,2021-01-29,licenciatura en ciencias de la computación,,colonia matilde,3013
102,tonya hancock,female,72,christophermason@gmail.com,1966/04/19,universidad nacional de jujuy,2020-12-06,diseño industrial,,alto pencoso,5724
103,michael pacheco,male,97,erosario@yahoo.com,1941/02/13,universidad nacional de jujuy,2020-09-07,licenciatura en psicología,,meson de fierro,3731
104,timothy norman,male,109,tnichols@yahoo.com,1929/04/24,universidad tecnológica nacional,2020-09-25,licenciatura en relaciones del trabajo,,el jumeal,5365
105,lauren long,female,94,williamsonrebecca@gmail.com,1944/10/07,universidad nacional de jujuy,2020-10-13,farmacia,,algarrobo verde,5443
106,anita drake,female,125,mendozacorey@yahoo.com,1913/09/06,universidad nacional de jujuy,2020-09-29,agronomía,,colonia 1 de mayo,3272
107,paul evans,male,88,zking@hotmail.com,1950/07/22,universidad tecnológica nacional,2020-10-31,licenciatura en relaciones del trabajo,,aguada de la peña,5461
108,christian sanders,male,54,fwiggins@yahoo.com,1984/02/01,universidad tecnológica nacional,2020-09-05,licenciatura en ciencia política,,coronel charlone,6223
109,nicole wells,female,119,gailunderwood@yahoo.com,1918/12/26,universidad tecnológica nacional,2020-10-09,licenciatura en relaciones del trabajo,,barlett,2175
110,george thompson,male,99,andrewsnyder@hotmail.com,1939/01/30,universidad tecnológica nacional,2020-09-12,licenciatura en sociología,,azul,7300
111,joseph wall,male,90,gtucker@yahoo.com,1948/10/01,universidad tecnológica nacional,2020-11-26,diseño de imagen y sonido,,los molinos,2181
112,tiffany molina,female,89,brianduncan@hotmail.com,1948/12/07,universidad tecnológica nacional,2020-11-12,contador público,,algarrobal abajo,5541
113,elizabeth hickman,female,124,rachelyang@gmail.com,1913/10/27,universidad nacional de jujuy,2020-09-30,diseño industrial,,la lucila del mar,7113
114,julia lopez,female,35,kray@gmail.com,2002/12/03,universidad tecnológica nacional,2020-11-26,farmacia,,blanca grande,6561
115,benjamin hernandez,male,29,andrew91@hotmail.com,2009/07/27,universidad nacional de jujuy,2020-09-12,licenciatura en ciencias ambientales,,comandante leal,5272
116,benjamin moore,male,110,richardsonashley@gmail.com,1928/10/07,universidad tecnológica nacional,2020-10-10,agronomía,,cailomuta,6339
117,jesse cohen,male,24,anguyen@yahoo.com,2014/06/14,universidad nacional de jujuy,2020-10-28,licenciatura en gestión de agroalimentos,,kilmetro 165,3153
118,mark greer,male,44,tstanley@hotmail.com,1993/12/21,universidad nacional de jujuy,2020-11-08,agronomía,,estacion general arenales,6005
119,katie hamilton,female,67,tthompson@gmail.com,1971/10/02,universidad nacional de jujuy,2020-10-09,técnico para bioterios,,alto del molle,5755
120,steven sexton,male,83,hendersonlinda@hotmail.com,1955/03/14,universidad tecnológica nacional,2021-01-25,diseño de imagen y sonido,,aero club canal,2823
121,margaret johnson,female,19,rioskevin@yahoo.com,2019/06/06,universidad tecnológica nacional,2020-10-22,farmacia,,colonia sere,6459
122,john smith,male,69,vegajuan@yahoo.com,1969/06/06,universidad tecnológica nacional,2020-10-27,licenciatura en ciencias ambientales,,azteazu,6365
123,paul johnson,male,55,emilydonaldson@hotmail.com,1983/02/19,universidad tecnológica nacional,2020-11-11,licenciatura en ciencia política,,carbometal,5505
124,jeffrey le,male,124,amandadavis@hotmail.com,1914/03/09,universidad nacional de jujuy,2020-10-26,licenciatura en ciencia y tecnología de alimentos,,arroyo grande,3203
125,jessica ruiz,female,89,taylor07@hotmail.com,1949/01/17,universidad nacional de jujuy,2020-11-12,medicina,,bañadito viejo,5709
126,leah williams,female,38,trevinokenneth@gmail.com,2000/07/15,universidad tecnológica nacional,2021-01-02,actuario,,cabaña el cisne,2322
127,zachary hurley,male,30,john64@gmail.com,2007/11/05,universidad tecnológica nacional,2020-10-25,ingeniería mecánica,,ambrosio p lezica,8508
128,isabella gibson,female,39,luis27@gmail.com,1999/10/26,universidad tecnológica nacional,2020-11-22,licenciatura en administración,,cazon,7265
129,jennifer crawford,female,92,vross@gmail.com,1946/07/30,universidad nacional de jujuy,2020-12-19,ingeniería electrónica,,guillermo e hudson,1885
130,michele roman,female,19,mcintyrerichard@hotmail.com,2019/08/23,universidad nacional de jujuy,2020-10-31,actuario,,aromos,3036
131,stephanie dunn,female,41,thompsonpeter@gmail.com,1997/08/20,universidad nacional de jujuy,2020-11-07,actuario,,colonia florencia,3500
132,mark estrada,male,59,collin60@yahoo.com,1979/01/14,universidad tecnológica nacional,2020-09-06,bioquímica,,dock sud,1871
133,hunter buck,male,66,wdudley@gmail.com,1972/08/24,universidad tecnológica nacional,2020-10-01,actuario,,longchamps,1854
134,christine huerta,female,93,justin29@gmail.com,1945/05/31,universidad tecnológica nacional,2021-01-12,medicina,,el potrero,5321
135,tiffany olson,female,106,zwalker@gmail.com,1932/10/25,universidad nacional de jujuy,2021-01-05,licenciatura en musicoterapia,,agote,6608
136,christopher miller,male,39,erobinson@gmail.com,1999/10/30,universidad nacional de jujuy,2020-11-12,ingeniería mecánica,,azara,3351
137,felicia bautista,female,92,robert75@hotmail.com,1946/09/18,universidad tecnológica nacional,2020-12-18,diseño industrial,,casablanca,2317
138,david yu,male,30,jwillis@yahoo.com,2008/12/19,universidad tecnológica nacional,2020-12-30,diseño de imagen y sonido,,villa hipodromo,5547
139,ronnie davis,male,44,zjones@hotmail.com,1993/10/31,universidad nacional de jujuy,2020-10-08,licenciatura en ciencias biológicas,,colonia hinojo,7318
140,connie floyd,female,62,tamarahorton@hotmail.com,1976/04/16,universidad nacional de jujuy,2020-12-25,ciencias veterinarias,,el espinillo,2946
141,maria hale,female,64,friedmankristen@hotmail.com,1974/07/08,universidad tecnológica nacional,2020-11-20,licenciatura en musicoterapia,,los cardos,2533
142,katelyn white,female,57,jaimerivers@gmail.com,1981/04/24,universidad tecnológica nacional,2020-11-11,licenciatura en ciencias biológicas,,carrizales,2218
143,mark cook,male,121,kellymartinez@yahoo.com,1916/10/23,universidad tecnológica nacional,2020-09-15,agronomía,,ingeniero de madrid,6651
144,margaret chavez,female,93,iyoung@gmail.com,1945/03/28,universidad tecnológica nacional,2021-01-16,ingeniería electrónica,,alto verde,2801
145,joseph cabrera,male,97,qnavarro@hotmail.com,1942/01/26,universidad nacional de jujuy,2021-01-30,técnico para bioterios,,aristia,3463
146,tammy ortiz,female,106,johnsondouglas@hotmail.com,1932/03/08,universidad nacional de jujuy,2021-01-26,licenciatura en relaciones del trabajo,,agua colorada,4119
147,david archer,male,47,marioking@gmail.com,1990/11/15,universidad nacional de jujuy,2020-10-26,licenciatura en ciencias ambientales,,alamos,6437
148,malik ball,male,127,zaguilar@gmail.com,1911/09/23,universidad tecnológica nacional,2020-11-12,licenciatura en producción de bioimagenes,,villa adelina,1607
149,mike kim,male,118,brownzachary@gmail.com,1920/08/14,universidad tecnológica nacional,2020-12-30,licenciatura en ciencias geológicas,,valle hondo,9221
150,emma jackson,female,54,mackamanda@yahoo.com,1983/10/07,universidad tecnológica nacional,2020-09-04,licenciatura en musicoterapia,,kilometro 125,6600
151,jeffrey sandoval,male,75,tammy71@hotmail.com,1962/09/16,universidad tecnológica nacional,2020-09-04,ingeniería mecánica,,perez,2121
152,alyssa nelson,female,78,kennethjackson@yahoo.com,1960/02/14,universidad nacional de jujuy,2020-11-01,ingeniería en informática,,baigorrita,6013
153,leonard peterson,male,69,christopherwilson@yahoo.com,1969/03/08,universidad nacional de jujuy,2021-01-08,licenciatura en administración,,abalo,3466
154,brian moore,male,42,robert72@hotmail.com,1996/09/26,universidad nacional de jujuy,2020-09-26,ingeniería electrónica,,arroyo guilaia,9207
155,betty bishop,female,56,kristen05@yahoo.com,1982/07/14,universidad tecnológica nacional,2020-10-30,licenciatura en kinesiología y fisiatría,,agrelo,5509
156,tammy petersen,female,35,acarter@gmail.com,2003/01/31,universidad tecnológica nacional,2020-12-26,licenciatura en ciencias geológicas,,caminera samborombon,7130
157,justin lopez,male,37,lauragriffith@yahoo.com,2000/10/08,universidad tecnológica nacional,2020-09-30,arquitectura,,el trebol,2535
158,megan booker,female,84,kingchase@gmail.com,1954/06/13,universidad tecnológica nacional,2020-09-02,licenciatura en planificación y diseño del paisaje,,arbol solo,3230
159,jose ewing,male,52,zblankenship@gmail.com,1986/02/20,universidad tecnológica nacional,2020-11-01,licenciatura en administración,,alizal,4122
160,tiffany bates,female,31,grichards@gmail.com,2007/07/10,universidad tecnológica nacional,2020-11-26,licenciatura en terapia ocupacional,,cascada,7547
161,russell gomez,male,76,rogersdouglas@hotmail.com,1962/06/18,universidad tecnológica nacional,2020-12-06,licenciatura en ciencias geológicas,,boliche lata,3449
162,cassandra turner,female,53,andrewrodriguez@hotmail.com,1985/01/29,universidad nacional de jujuy,2020-11-09,ingeniería mecánica,,colonia lote 12,3543
163,matthew jensen,male,89,erinmcclain@hotmail.com,1948/10/30,universidad nacional de jujuy,2020-10-06,agronomía,,funke,7220
164,danielle wilson,female,115,robinbranch@hotmail.com,1922/12/19,universidad nacional de jujuy,2020-11-14,técnico para bioterios,,agustin mosconi,6667
165,brian reese,male,70,bryantpatrick@yahoo.com,1968/02/03,universidad nacional de jujuy,2020-12-15,ciencias veterinarias,,colonia campo piaggio,2252
166,desiree edwards,female,130,tdodson@hotmail.com,1908/01/03,universidad tecnológica nacional,2020-12-21,licenciatura en ciencia política,,acostilla,4113
167,thomas thompson,male,87,amy82@hotmail.com,1951/12/15,universidad tecnológica nacional,2021-01-15,técnico para bioterios,,amalia,6516
168,rachel torres,female,26,kcox@gmail.com,2012/02/03,universidad nacional de jujuy,2021-01-12,licenciatura en terapia ocupacional,,el pingo,3132
169,wesley acosta,male,73,linda85@yahoo.com,1965/10/17,universidad nacional de jujuy,2020-12-08,licenciatura en ciencias ambientales,,corbett,6507
170,samantha briggs,female,131,mia12@hotmail.com,1907/09/18,universidad tecnológica nacional,2020-12-11,licenciatura en administración,,san antonio de obligado,3587
171,stacey lee,female,36,chavezmichael@hotmail.com,2002/06/21,universidad tecnológica nacional,2020-11-19,licenciatura en ciencias de la computación,,benitez,6632
172,kaitlyn case,female,19,angela12@hotmail.com,2019/08/12,universidad nacional de jujuy,2020-10-23,ciencias veterinarias,,de bruyn,6031
173,austin smith,male,91,tmcbride@gmail.com,1947/10/10,universidad nacional de jujuy,2021-01-10,diseño de imagen y sonido,,alabama,4117
174,katie cain,female,107,brian98@gmail.com,1931/08/12,universidad tecnológica nacional,2020-10-08,contador público,,cañada de gomez,2500
175,tony hall,male,35,ksmith@hotmail.com,2003/03/25,universidad tecnológica nacional,2021-01-27,diseño industrial,,4 de noviembre,2707
176,troy martin,male,123,kurtroberson@gmail.com,1915/03/15,universidad tecnológica nacional,2020-09-14,ingeniería en informática,,abra guazu,3197
177,christopher everett,male,104,qlucas@hotmail.com,1934/10/04,universidad tecnológica nacional,2020-11-09,licenciatura en ciencias biológicas,,cazon,7265
178,dean brown,male,19,zdoyle@yahoo.com,2019/03/01,universidad nacional de jujuy,2020-11-17,licenciatura en kinesiología y fisiatría,,cañadon lagarto,9009
179,jason rice,male,53,stevenjames@yahoo.com,1985/05/26,universidad tecnológica nacional,2020-11-10,licenciatura en ciencias de la educación,,apoyaco,5317
180,john williams,male,67,cynthiacarlson@hotmail.com,1971/02/20,universidad tecnológica nacional,2021-01-29,farmacia,,angostura,3481
181,kristen brown,female,80,ygomez@hotmail.com,1958/05/17,universidad tecnológica nacional,2020-12-24,licenciatura en ciencias geológicas,,alvarez,2107
182,heather small,female,86,brookskrystal@hotmail.com,1952/01/25,universidad nacional de jujuy,2020-12-25,licenciatura en ciencias ambientales,,longchamps,1854
183,mrs. crystal miller,female,132,andrewthompson@hotmail.com,1906/03/28,universidad tecnológica nacional,2020-09-26,licenciatura en terapia ocupacional,,arroyo corralito,3122
184,julie wilson,female,75,baileybrianna@yahoo.com,1963/10/02,universidad nacional de jujuy,2020-12-20,diseño industrial,,el rincon,8146
185,leslie harris,female,25,ericalewis@gmail.com,2013/10/11,universidad tecnológica nacional,2020-12-16,ingeniería electrónica,,16 de julio,7313
186,amy warner,female,72,robertphelps@hotmail.com,1966/04/29,universidad tecnológica nacional,2020-11-02,medicina,,arana,1909
187,jennifer schroeder,female,46,ebraun@hotmail.com,1992/02/13,universidad tecnológica nacional,2020-12-09,licenciatura en psicología,,agua linda,5753
188,adrienne jackson,female,47,linda76@gmail.com,1990/12/29,universidad nacional de jujuy,2020-10-15,bioquímica,,bella vista,1661
189,sydney jackson,female,95,austinhannah@gmail.com,1943/08/18,universidad tecnológica nacional,2020-12-25,actuario,,kilometro 47,5624
190,jason austin,male,90,cooperchelsea@gmail.com,1948/09/17,universidad tecnológica nacional,2021-01-29,licenciatura en administración,,ireneo portela,2943
191,jacob white,male,120,david71@yahoo.com,1918/04/21,universidad tecnológica nacional,2020-09-14,licenciatura en administración,,cara mala,9313
