;inscription_dates;university;carrera;first_name;last_name;gender;age;postal_code;location;email
15;20/Dec/14;-universidad-abierta-interamericana;Ingeniería-mecánica;;Johnny-williams;M;;;Capitan-castro;Andreaboyd@yahoo.com
16;20/Dec/11;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Lisa-green;F;;;El-durazno;Hudsonbrianna@gmail.com
17;21/Jan/24;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;David-chung;M;;;Alarcon;Johnsonbrandon@hotmail.com
18;20/Sep/30;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Jennifer-ramirez;F;;;Colonia-baron;Woodangelica@hotmail.com
19;20/Nov/28;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Jose-white;M;;;Planchada-banderita;Jenniferbrown@yahoo.com
20;20/Dec/29;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Drew-espinoza;M;;;Britos;Jmiller@gmail.com
21;21/Jan/01;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Dale-smith;M;;;Alumine;Michaeljohnson@gmail.com
22;20/Oct/10;-universidad-abierta-interamericana;Farmacia;;Lynn-sharp;F;;;Azul;Tamara73@hotmail.com
23;20/Oct/29;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Julie-vargas;F;;;Bathurst-estacion;Iochoa@yahoo.com
24;20/Sep/22;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Benjamin-curry;M;;;El-porvenir;Rebekah32@hotmail.com
25;20/Nov/13;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Rhonda-guerrero;F;;;Estacion-yerua;Isabelwilliams@yahoo.com
26;20/Sep/16;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Katie-williams;F;;;El-bombero;Michaelthomas@hotmail.com
27;20/Nov/23;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Jennifer-king;F;;;Campo-calvo;Daniel32@gmail.com
28;20/Dec/28;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Cynthia-riley;F;;;Masurel;Erica19@gmail.com
29;20/Oct/13;-universidad-abierta-interamericana;Farmacia;;Mr.-daniel-knight;M;;;Arroyo-balmaceda;Darrylhogan@gmail.com
30;20/Dec/15;-universidad-abierta-interamericana;Farmacia;;Melanie-fox;F;;;Colonia-duran;Hhays@yahoo.com
31;20/Dec/15;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Brenda-schultz;F;;;Calilegua;Gwhite@gmail.com
32;21/Jan/31;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Christopher-smith;M;;;La-dorita;Jgross@gmail.com
33;20/Nov/06;-universidad-abierta-interamericana;Actuario-;;Kathleen-lee;F;;;Castilla;Linda06@yahoo.com
34;21/Jan/09;-universidad-abierta-interamericana;Agronomía;;Dale-rodriguez;M;;;Colonia-el-aguara;Howellmichael@yahoo.com
35;20/Sep/16;-universidad-abierta-interamericana;Actuario-;;Kristina-williams;F;;;Ascencion;Stephanie11@gmail.com
36;20/Oct/03;-universidad-abierta-interamericana;Actuario-;;Steven-smith;M;;;Ceres;Jose07@hotmail.com
37;20/Nov/24;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Angela-davis;F;;;Villa-santos-tesei;Terrimadden@gmail.com
38;20/Oct/02;-universidad-abierta-interamericana;Diseño-industrial;;Tracy-mclean;F;;;Alabama;Brownjames@gmail.com
39;20/Sep/05;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Edgar-leach;M;;;Agua-de-castilla;Michael26@gmail.com
40;20/Dec/16;-universidad-abierta-interamericana;Bioquímica;;Katherine-vega;F;;;El-lenguaraz;Sarah28@yahoo.com
41;20/Dec/20;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Joshua-wheeler;M;;;Berabevu;Fgarza@yahoo.com
42;21/Jan/23;-universidad-abierta-interamericana;Agronomía;;Stephanie-johnson;F;;;Igarzabal;Hilldanielle@yahoo.com
43;20/Nov/18;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Jessica-lewis;F;;;Angeloni;Jenkinssusan@hotmail.com
44;20/Nov/22;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Anna-miles;F;;;Antumpa;Hollypace@hotmail.com
45;20/Sep/10;-universidad-abierta-interamericana;Ingeniería-electrónica;;Morgan-solomon;F;;;17-de-agosto;Lawrence30@gmail.com
46;20/Sep/28;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Riley-williams;M;;;Carrizal-norte;Johnnythompson@gmail.com
47;20/Sep/25;-universidad-abierta-interamericana;Ingeniería-en-informática;;Timothy-williams;M;;;Adan-quiroga;Reneemorton@gmail.com
48;20/Oct/03;-universidad-abierta-interamericana;Licenciatura-en-terapia-ocupacional;;Paul-howard;M;;;Condarco;Theresahooper@yahoo.com
49;21/Jan/10;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Andrea-rose;F;;;Est-jauregui-va-flandria;Mendezdonald@hotmail.com
50;20/Dec/23;-universidad-abierta-interamericana;Ingeniería-mecánica;;Samuel-moyer;M;;;La-tranca;Tstrickland@hotmail.com
51;20/Dec/05;-universidad-abierta-interamericana;Medicina;;Lori-morales;F;;;Barrio-ferri;Susanguerra@yahoo.com
52;20/Nov/17;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Terri-hensley;F;;;Arijon;Eflores@hotmail.com
53;21/Jan/18;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Linda-fitzgerald;F;;;Destileria-fiscal;Jennifer86@hotmail.com
54;21/Jan/11;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Alicia-hill;F;;;Carlos-pellegrini;Fdavis@gmail.com
55;20/Dec/05;-universidad-abierta-interamericana;Licenciatura-en-psicología;;James-conrad;M;;;Los-cardos;Sali@yahoo.com
56;20/Nov/23;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Arthur-andrews;M;;;Amuschina;Wallersandra@yahoo.com
57;20/Dec/30;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Amanda-foster;F;;;Calchaqui;Rward@gmail.com
58;20/Oct/16;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Robert-leonard;M;;;Villa-olivari;Gonzalezlisa@yahoo.com
59;21/Jan/09;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Diana-elliott;F;;;Colonia-barga;Marysmith@gmail.com
60;21/Jan/02;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Anthony-romero;M;;;Valle-hondo;Heatherwalters@gmail.com
61;21/Jan/24;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Sonya-sandoval;F;;;Colonia-tacurales;Leejohn@gmail.com
62;20/Oct/16;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Jeffrey-suarez;M;;;Alto-de-sierra;Paulacasey@hotmail.com
63;20/Sep/04;-universidad-abierta-interamericana;Ciencias-veterinarias;;Samuel-chaney;M;;;Villa-santos-tesei;Velliott@gmail.com
64;21/Jan/24;-universidad-abierta-interamericana;Agronomía;;Gregory-young;M;;;Berraondo;Johnsontracy@hotmail.com
65;20/Nov/03;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Leon-boyd;M;;;Baigorrita;Jennawilson@gmail.com
66;21/Jan/16;-universidad-abierta-interamericana;Ingeniería-electrónica;;Ralph-owen-jr.;M;;;Arturo-segui;Dthomas@hotmail.com
67;20/Sep/10;-universidad-abierta-interamericana;Ingeniería-mecánica;;Christy-knight;F;;;Kilometro-112;Natalie64@gmail.com
68;20/Oct/20;-universidad-abierta-interamericana;Diseño-industrial;;Sean-lindsey;M;;;Balneario-los-angeles;Mmiles@hotmail.com
69;20/Nov/25;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Jamie-evans;F;;;Campo-la-riviere;Matthewmyers@yahoo.com
70;20/Dec/21;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Kyle-keith;M;;;Adela-corti;Richardthompson@gmail.com
71;20/Nov/25;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;April-simon;F;;;Barranqueras;William33@yahoo.com
72;20/Oct/04;-universidad-abierta-interamericana;Agronomía;;Sara-richards;F;;;Canal-15-cerro-de-la-gloria;Melaniekidd@yahoo.com
73;20/Nov/19;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Jonathan-butler;M;;;Banfield;Joseph05@yahoo.com
74;20/Nov/29;-universidad-abierta-interamericana;Contador-público-;;Mrs.-ashley-mooney;F;;;Aldea-maria-luisa;Gentryandrew@yahoo.com
75;20/Oct/06;-universidad-abierta-interamericana;Licenciatura-en-ciencia-y-tecnología-de-alimentos;;Julia-aguilar;F;;;Alegre;Hudsonjorge@gmail.com
76;21/Jan/04;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Rachel-bautista;F;;;El-carbalino;Mwoodard@hotmail.com
77;20/Sep/06;-universidad-abierta-interamericana;Farmacia;;Danielle-porter;F;;;Amambay;Ylynch@hotmail.com
78;21/Jan/30;-universidad-abierta-interamericana;Ciencias-veterinarias;;Robert-schneider;M;;;El-hoyo;Brownmeghan@yahoo.com
79;20/Sep/22;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Christopher-burke;M;;;Cañada-la-negra;Nichole90@hotmail.com
80;20/Oct/03;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Michael-schultz;M;;;Agua-blanca;Stephaniewells@yahoo.com
81;20/Nov/17;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Jocelyn-davis;F;;;Martin-coronado;Zcombs@yahoo.com
82;21/Jan/18;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Susan-gardner;F;;;Alfredo-peña;Hadams@yahoo.com
83;21/Jan/17;-universidad-abierta-interamericana;Licenciatura-en-ciencias-biológicas;;Terrence-savage;M;;;Acheral;Denise94@yahoo.com
84;20/Oct/12;-universidad-abierta-interamericana;Arquitectura;;Benjamin-lewis;M;;;Gobernador-moyano;Williamdixon@hotmail.com
85;20/Oct/09;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Andrew-torres;M;;;Aldea-beleiro;Sarah53@hotmail.com
86;20/Oct/23;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Pamela-irwin;F;;;D-orbigny;Angeladickerson@gmail.com
87;21/Jan/24;-universidad-abierta-interamericana;Medicina;;Krista-martinez;F;;;25-de-mayo;Jerrycarson@gmail.com
88;20/Sep/06;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Alicia-wise;F;;;Campo-la-flor-los-ralos;Cabreralaurie@hotmail.com
89;20/Sep/09;-universidad-abierta-interamericana;Arquitectura;;Travis-weiss;M;;;Alpasinche;Jeremycarter@yahoo.com
90;20/Sep/12;-universidad-abierta-interamericana;Agronomía;;Christina-roberts;F;;;San-fernando;Dakotawilson@hotmail.com
91;20/Nov/14;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Nicole-brown;F;;;El-tropezon;Tiffanyadkins@yahoo.com
92;20/Sep/22;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Shannon-owen;F;;;Agustin-roca;Tmacias@yahoo.com
93;21/Jan/03;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Lori-wheeler;F;;;Lomas-de-zamora;Hknight@yahoo.com
94;21/Jan/03;-universidad-abierta-interamericana;Arquitectura;;Michelle-smith;F;;;Angosto-del-perchel;Jamieramirez@hotmail.com
95;21/Jan/08;-universidad-abierta-interamericana;Ciencias-veterinarias;;Erin-cross;F;;;Barrio-emir-ramon-juarez;Ccunningham@gmail.com
96;20/Dec/15;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Juan-gonzalez;M;;;Bigand;Gcarlson@yahoo.com
97;20/Sep/01;-universidad-abierta-interamericana;Bioquímica;;Frank-bautista;M;;;Adan-quiroga;Wallsnathan@hotmail.com
98;20/Nov/01;-universidad-abierta-interamericana;Farmacia;;Rebecca-gilbert;F;;;Aldea-maria-luisa;Juan94@hotmail.com
99;20/Sep/23;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Edward-lewis;M;;;Mecha;Dmartin@hotmail.com
100;21/Jan/04;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Russell-odonnell;M;;;Campamento-sol;Nicholasmeza@hotmail.com
101;20/Sep/14;-universidad-abierta-interamericana;Contador-público-;;Katie-lowe;F;;;Ingeniero-adolfo-sourdeaux;Rebecca30@hotmail.com
102;20/Sep/08;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Aaron-pope;M;;;Aconquija;Stewartlindsey@gmail.com
103;20/Oct/21;-universidad-abierta-interamericana;Actuario-;;Patricia-bailey;F;;;Granadero-baigorria;Uaguirre@hotmail.com
104;20/Nov/02;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Kelly-hogan;M;;;El-sombrerito;Donna19@hotmail.com
105;20/Oct/26;-universidad-abierta-interamericana;Agronomía;;Kayla-orozco;F;;;Santa-teresita;Robertoconnor@hotmail.com
106;21/Jan/14;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Richard-garcia;M;;;La-legua;Mary69@gmail.com
107;20/Oct/30;-universidad-abierta-interamericana;Ingeniería-electrónica;;Matthew-obrien;M;;;Arbuco;Isaac40@gmail.com
108;21/Jan/01;-universidad-abierta-interamericana;Ingeniería-mecánica;;Sandra-smith;F;;;Cabaña-el-cisne;Mikepope@gmail.com
109;21/Jan/14;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Katie-green;F;;;Abralaite;Starklynn@gmail.com
110;20/Nov/16;-universidad-abierta-interamericana;Ingeniería-mecánica;;Breanna-rollins;F;;;Haras-san-jacinto;Leestacy@hotmail.com
111;20/Oct/27;-universidad-abierta-interamericana;Licenciatura-en-terapia-ocupacional;;Robert-mann;M;;;Albigasta;Mcclainlaura@hotmail.com
112;20/Oct/24;-universidad-abierta-interamericana;Ciencias-veterinarias;;Daniel-stone;M;;;Colonia-devoto;Nixonsergio@hotmail.com
113;20/Sep/19;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Steven-cox;M;;;Florentino-ameghino;Scottmegan@yahoo.com
114;20/Dec/05;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Ashley-matthews;F;;;Asuncion;Zparker@hotmail.com
115;20/Dec/15;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Derek-dougherty;M;;;Faro-querandi;Barkerelizabeth@gmail.com
116;20/Oct/29;-universidad-abierta-interamericana;Ingeniería-mecánica;;Anna-richardson;F;;;Claverie;Armstrongwendy@gmail.com
117;20/Sep/16;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Kyle-sosa;M;;;Sey;Megan71@hotmail.com
118;20/Oct/23;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Donna-glenn;F;;;Bosques;Stephen50@gmail.com
119;21/Jan/11;-universidad-abierta-interamericana;Arquitectura;;Suzanne-watts;F;;;28-de-noviembre;Hortonmatthew@gmail.com
120;20/Sep/10;-universidad-abierta-interamericana;Licenciatura-en-psicología;;Mr.-colin-west;M;;;Colonia-nueva-montevideo;Martinezjessica@yahoo.com
121;20/Sep/12;-universidad-abierta-interamericana;Ingeniería-mecánica;;Keith-price;M;;;Alizal;Wilsonkimberly@yahoo.com
122;21/Jan/18;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Erica-clark;F;;;Alpatacal;Bgilbert@gmail.com
123;20/Oct/18;-universidad-abierta-interamericana;Diseño-industrial;;Gina-miller;F;;;San-bernardo-del-tuyu;Greyes@gmail.com
124;20/Dec/28;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Jennifer-nichols;F;;;Alto-del-saladillo;Gregory99@yahoo.com
125;20/Sep/06;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Kathleen-acevedo;F;;;Colonia-santa-rosa;Stephanie82@yahoo.com
126;20/Sep/17;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Daniel-young;M;;;11-de-septiembre;Manninglindsey@hotmail.com
127;20/Sep/16;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Spencer-davidson;M;;;Alijilan;April62@hotmail.com
128;20/Sep/16;-universidad-abierta-interamericana;Licenciatura-en-artes;;Philip-watkins;M;;;9-de-julio;Pkirk@gmail.com
129;21/Jan/23;-universidad-abierta-interamericana;Arquitectura;;Debra-morris;F;;;Agua-cercada;Lbrown@yahoo.com
130;20/Nov/17;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Meghan-underwood;F;;;Roldan;Perkinsjessica@yahoo.com
131;20/Dec/15;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Andrea-russell;F;;;Condarco;Wnelson@gmail.com
132;21/Jan/12;-universidad-abierta-interamericana;Licenciatura-en-planificación-y-diseño-del-paisaje;;Jeffery-phillips;M;;;Estacion-yerua;Jonathan88@yahoo.com
133;20/Oct/29;-universidad-abierta-interamericana;Ciencias-veterinarias;;David-white;M;;;Anguinan;Larry50@hotmail.com
134;20/Sep/29;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Robert-martin;M;;;Acassuso;Thomascastillo@yahoo.com
135;20/Sep/30;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Sherry-hernandez;F;;;El-talar;Lchavez@hotmail.com
136;20/Dec/05;-universidad-abierta-interamericana;Actuario-;;Monica-larsen;F;;;Chelforo;Shelleyjordan@yahoo.com
137;20/Dec/06;-universidad-abierta-interamericana;Licenciatura-en-administración-;;Michael-jones;M;;;Candelaria-sud;Fgeorge@yahoo.com
138;21/Jan/13;-universidad-abierta-interamericana;Arquitectura;;Makayla-bray;F;;;Colonia-valdez;Emilyleach@gmail.com
139;20/Oct/26;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-computación;;Linda-williams;F;;;Costa-del-rio-azul;Graymichael@hotmail.com
140;20/Sep/19;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Collin-patrick;M;;;Arroyo-molino;Xperez@gmail.com
141;20/Dec/21;-universidad-abierta-interamericana;Contador-público-;;Alexis-carter;F;;;Colonia-alvear;Daniel01@yahoo.com
142;20/Oct/28;-universidad-abierta-interamericana;Ingeniería-mecánica;;Steven-tapia;M;;;El-guanaco;Daniel73@yahoo.com
143;20/Nov/18;-universidad-abierta-interamericana;Contador-público-;;Miguel-saunders;M;;;Bonpland-norte;Dcoffey@yahoo.com
144;21/Jan/05;-universidad-abierta-interamericana;Ingeniería-mecánica;;Karen-lane;F;;;Carlos-tejedor;Wilsonbenjamin@gmail.com
145;20/Nov/13;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Caleb-gray;M;;;Arroyo-balmaceda;Mgarcia@yahoo.com
146;20/Oct/13;-universidad-abierta-interamericana;Bioquímica;;Shannon-adams;F;;;Arroyo-canelon;Faith29@yahoo.com
147;20/Sep/26;-universidad-abierta-interamericana;Diseño-industrial;;David-berg;M;;;Juan-e-barra;Reyescassie@yahoo.com
148;20/Sep/12;-universidad-abierta-interamericana;Diseño-industrial;;Justin-luna;M;;;Cañadon-seco;Brandon58@yahoo.com
149;20/Nov/18;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Brandon-pineda;M;;;Catua;Dustin07@hotmail.com
150;20/Nov/30;-universidad-abierta-interamericana;Diseño-industrial;;Andrew-smith;M;;;Base-aerea-teniente-matienzo;Dgamble@yahoo.com
151;20/Sep/06;-universidad-abierta-interamericana;Diseño-industrial;;Dominic-kemp;M;;;Kilometro-77;Zwolf@hotmail.com
152;20/Nov/13;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Ashley-hebert;F;;;La-torrecita;Bergdavid@yahoo.com
153;20/Sep/12;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Mr.-johnathan-douglas-md;M;;;San-andres;Tgilmore@yahoo.com
154;20/Oct/31;-universidad-abierta-interamericana;Licenciatura-en-psicología;;Nicole-davis;F;;;Alfredo-demarchi;Herrerasara@hotmail.com
155;21/Jan/11;-universidad-abierta-interamericana;Licenciatura-en-terapia-ocupacional;;Jenny-perez;F;;;Ariel;Donald99@gmail.com
156;20/Dec/16;-universidad-abierta-interamericana;Arquitectura;;William-barker;M;;;Alto-verde;Amberbowen@yahoo.com
157;20/Oct/09;-universidad-abierta-interamericana;Licenciatura-en-ciencia-política-;;Kimberly-mcdonald;F;;;Garcia-del-rio;Allenheather@hotmail.com
158;20/Oct/24;-universidad-abierta-interamericana;Licenciatura-en-artes;;Debbie-short;F;;;Fortin-lavalle;Jade48@yahoo.com
159;20/Nov/29;-universidad-abierta-interamericana;Licenciatura-en-relaciones-del-trabajo-;;Joseph-thomas;M;;;Don-torcuato;Stephen30@gmail.com
160;20/Dec/06;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Laura-mcdonald;F;;;Gobernador-lanusse;Fcoleman@gmail.com
161;20/Dec/06;-universidad-abierta-interamericana;Arquitectura;;Laura-johnson;F;;;Colonia-alberdi;Martinezcarolyn@yahoo.com
162;20/Nov/15;-universidad-abierta-interamericana;Licenciatura-en-artes;;Jessica-gilbert;F;;;Bolivar;Ydunn@hotmail.com
163;20/Dec/10;-universidad-abierta-interamericana;Licenciatura-en-artes;;Debra-padilla;F;;;Arata;Pmontgomery@gmail.com
164;20/Sep/05;-universidad-abierta-interamericana;Licenciatura-en-psicología;;Edward-young;M;;;Bajo-grande;Ericapennington@hotmail.com
165;20/Nov/01;-universidad-abierta-interamericana;Licenciatura-en-sociología-;;Kristen-reid;F;;;Francisco-casal;Vaughndawn@yahoo.com
166;21/Jan/22;-universidad-abierta-interamericana;Licenciatura-en-ciencias-biológicas;;Lauren-hess;F;;;Mercado-central;Micheal05@gmail.com
167;20/Dec/07;-universidad-abierta-interamericana;Medicina;;Lori-jenkins;F;;;Barcala;Kdavis@gmail.com
168;20/Sep/21;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Regina-greer;F;;;Atreuco;Besparza@yahoo.com
169;20/Dec/15;-universidad-abierta-interamericana;Farmacia;;Katie-wood;F;;;Aguada-alegre;Elizabethbaker@hotmail.com
170;20/Nov/30;-universidad-abierta-interamericana;Técnico-para-bioterios-;;John-turner;M;;;Aldao;Johnsonedwin@gmail.com
171;20/Oct/03;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Shane-berry;M;;;Aguada-a-pique;Moralestheresa@gmail.com
172;20/Nov/16;-universidad-abierta-interamericana;Técnico-para-bioterios-;;Isabel-hernandez;F;;;Indacochea;Dbaker@hotmail.com
173;21/Jan/27;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Chad-hart;M;;;Chañarcito;Hneal@hotmail.com
174;20/Nov/18;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Eric-campbell;M;;;Almacen-castro;Nmiller@gmail.com
175;21/Jan/13;-universidad-abierta-interamericana;Ciencias-veterinarias;;Caitlin-wilson;F;;;Arroyo-salado;Alexander49@yahoo.com
176;21/Jan/20;-universidad-abierta-interamericana;Diseño-industrial;;Michelle-diaz;F;;;Zona-delta-tigre;Benjaminsmith@gmail.com
177;20/Dec/02;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Sheila-king;F;;;Ciudad-madero;Coopermichael@hotmail.com
178;20/Dec/06;-universidad-abierta-interamericana;Bioquímica;;James-miller;M;;;16-de-julio;Kara10@gmail.com
179;20/Dec/08;-universidad-abierta-interamericana;Licenciatura-en-ciencias-geológicas;;Rachel-ross;F;;;Avellaneda;John27@hotmail.com
180;20/Nov/16;-universidad-abierta-interamericana;Farmacia;;Tyler-rojas-md;M;;;Estela;Lowerymichele@gmail.com
181;20/Oct/31;-universidad-abierta-interamericana;Ingeniería-en-informática;;Kelly-price;F;;;Campo-calvo;Ibeck@hotmail.com
182;20/Dec/24;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Mary-davies;F;;;Campo-sabate;Natasha48@gmail.com
183;20/Oct/01;-universidad-abierta-interamericana;Diseño-industrial;;Nathan-shelton;M;;;Ambas-puntillas;Jamievaldez@hotmail.com
184;21/Jan/20;-universidad-abierta-interamericana;Agronomía;;Mark-harris;M;;;Abra-pampa;Mckinneynancy@gmail.com
185;20/Sep/09;-universidad-abierta-interamericana;Licenciatura-en-musicoterapia;;Casey-cox;M;;;Ambato;Jason33@hotmail.com
186;20/Dec/10;-universidad-abierta-interamericana;Ingeniería-en-informática;;Jordan-blankenship;M;;;Barrio-el-molino;Johnsonlauren@yahoo.com
187;20/Nov/21;-universidad-abierta-interamericana;Ingeniería-en-informática;;Michael-sullivan;M;;;Isla-tigre;Schmidtlisa@hotmail.com
