,last_name,gender,age,email,birth_date,university,inscription_date,career,first_name,location,postal_code
68,cameron lynch,m,,kentbrandon@hotmail.com,1906/12/03,universidad tecnológica nacional,2020/12/24,licenciatura en ciencia y tecnología de alimentos,,calderon,-1
69,emily jones,f,,monicabeasley@yahoo.com,1984/07/13,universidad tecnológica nacional,2020/09/09,licenciatura en administración ,,agua blanca,-1
70,julian green,m,,sgentry@gmail.com,2016/05/16,universidad tecnológica nacional,2020/10/06,licenciatura en producción de bioimagenes,,paso de los andes,-1
71,dennis hurst,m,,rebecca05@hotmail.com,1952/07/04,universidad tecnológica nacional,2020/09/24,contador público ,,colonia reina margarita,-1
72,chelsea white,f,,tina40@gmail.com,1938/06/29,universidad tecnológica nacional,2020/09/16,licenciatura en ciencias de la educación ,,leubuco,-1
73,antonio patel,m,,irodriguez@gmail.com,1930/03/13,universidad tecnológica nacional,2020/12/29,arquitectura,,bosques,-1
74,victoria wolfe,f,,howardvictor@yahoo.com,2002/05/09,universidad nacional de jujuy,2020/09/23,actuario ,,girodias,-1
75,spencer dominguez,m,,bparsons@hotmail.com,1934/08/03,universidad nacional de jujuy,2020/10/04,licenciatura en ciencia política ,,alcaraz 2do,-1
76,tina thomas,f,,cassiebrewer@yahoo.com,1905/11/27,universidad nacional de jujuy,2020/10/03,licenciatura en ciencias geológicas,,el bombero,-1
77,tyler reed,m,,xhernandez@hotmail.com,1918/12/06,universidad tecnológica nacional,2020/11/17,licenciatura en producción de bioimagenes,,cuenca,-1
78,emily hall,f,,vicki56@yahoo.com,1941/10/08,universidad tecnológica nacional,2020/10/21,diseño de imagen y sonido,,dina huapi,-1
79,javier cobb dvm,m,,loriford@yahoo.com,1912/07/28,universidad tecnológica nacional,2021/01/08,licenciatura en planificación y diseño del paisaje,,alejandro petion,-1
80,debra davis,f,,mooreandrea@hotmail.com,1948/01/25,universidad nacional de jujuy,2020/10/15,licenciatura en ciencia política ,,chañarcito,-1
81,andre anderson,m,,arivera@hotmail.com,1966/05/04,universidad nacional de jujuy,2020/11/02,medicina,,brea chimpana,-1
82,christina porter,f,,meltonstephen@hotmail.com,1984/11/23,universidad tecnológica nacional,2020/11/08,licenciatura en kinesiología y fisiatría,,pozo navagan,-1
83,carolyn clark,f,,jordanleslie@hotmail.com,1969/05/30,universidad nacional de jujuy,2020/09/14,licenciatura en musicoterapia,,colonia centenario,-1
84,jessica mccall,f,,brianrobinson@hotmail.com,2014/05/31,universidad tecnológica nacional,2021/01/01,licenciatura en ciencias ambientales,,chañarcito,-1
85,jared larson,m,,taylor96@gmail.com,1994/09/25,universidad tecnológica nacional,2020/09/24,licenciatura en relaciones del trabajo ,,carbometal,-1
86,darren lee md,m,,evanskatherine@yahoo.com,1968/08/14,universidad tecnológica nacional,2021/01/01,licenciatura en ciencias ambientales,,arroyo palmar,-1
87,jay conway,m,,karenmendoza@yahoo.com,1998/08/13,universidad tecnológica nacional,2020/10/28,bioquímica,,colonia la oracion,-1
88,jon gordon,m,,agonzalez@yahoo.com,1960/04/20,universidad tecnológica nacional,2020/12/13,contador público ,,bajastine,-1
89,jorge miller,m,,sherri64@hotmail.com,1996/10/18,universidad nacional de jujuy,2021/01/19,diseño de imagen y sonido,,colonia la blanquita,-1
90,anthony johnson,m,,eryan@hotmail.com,1915/10/03,universidad tecnológica nacional,2020/10/03,técnico para bioterios ,,encina,-1
91,andrea molina,f,,luisconley@gmail.com,1934/05/01,universidad nacional de jujuy,2020/11/27,ingeniería mecánica,,campo el mataco,-1
92,greg wells,m,,trodriguez@hotmail.com,1938/10/24,universidad tecnológica nacional,2020/09/11,licenciatura en psicología,,claudio c molina,-1
93,aaron vance,m,,dnavarro@hotmail.com,1927/11/02,universidad tecnológica nacional,2020/09/29,diseño de imagen y sonido,,campo medina,-1
94,jimmy taylor,m,,xcollins@gmail.com,2004/12/12,universidad nacional de jujuy,2020/09/17,arquitectura,,la union,-1
95,elizabeth cox,f,,hughesandrew@yahoo.com,1934/05/01,universidad nacional de jujuy,2020/11/06,ingeniería en informática,,cañada,-1
96,stephanie williamson,f,,patrickcrawford@hotmail.com,1975/02/06,universidad nacional de jujuy,2021/01/15,arquitectura,,aromos,-1
97,derek robinson,m,,kathleenmitchell@yahoo.com,1999/08/07,universidad nacional de jujuy,2020/11/26,farmacia,,barrio villa saladillo,-1
98,melissa moore,f,,erin97@yahoo.com,1956/02/04,universidad nacional de jujuy,2021/01/11,licenciatura en ciencia política ,,cachiyuyal,-1
99,dale martinez,m,,pstanton@hotmail.com,2005/08/11,universidad tecnológica nacional,2021/01/16,ingeniería en informática,,13 de enero,-1
100,christopher bennett,m,,valenzuelacarolyn@yahoo.com,1916/08/04,universidad nacional de jujuy,2021/01/06,licenciatura en terapia ocupacional,,boulogne,-1
101,dale huynh,m,,wsingh@hotmail.com,1991/04/08,universidad tecnológica nacional,2021/01/29,licenciatura en ciencias de la computación,,colonia matilde,-1
102,tonya hancock,f,,christophermason@gmail.com,1966/04/19,universidad nacional de jujuy,2020/12/06,diseño industrial,,alto pencoso,-1
103,michael pacheco,m,,erosario@yahoo.com,1941/02/13,universidad nacional de jujuy,2020/09/07,licenciatura en psicología,,meson de fierro,-1
104,timothy norman,m,,tnichols@yahoo.com,1929/04/24,universidad tecnológica nacional,2020/09/25,licenciatura en relaciones del trabajo ,,el jumeal,-1
105,lauren long,f,,williamsonrebecca@gmail.com,1944/10/07,universidad nacional de jujuy,2020/10/13,farmacia,,algarrobo verde,-1
106,anita drake,f,,mendozacorey@yahoo.com,1913/09/06,universidad nacional de jujuy,2020/09/29,agronomía,,colonia 1 de mayo,-1
107,paul evans,m,,zking@hotmail.com,1950/07/22,universidad tecnológica nacional,2020/10/31,licenciatura en relaciones del trabajo ,,aguada de la peña,-1
108,christian sanders,m,,fwiggins@yahoo.com,1984/02/01,universidad tecnológica nacional,2020/09/05,licenciatura en ciencia política ,,coronel charlone,-1
109,nicole wells,f,,gailunderwood@yahoo.com,1918/12/26,universidad tecnológica nacional,2020/10/09,licenciatura en relaciones del trabajo ,,barlett,-1
110,george thompson,m,,andrewsnyder@hotmail.com,1939/01/30,universidad tecnológica nacional,2020/09/12,licenciatura en sociología ,,azul,-1
111,joseph wall,m,,gtucker@yahoo.com,1948/10/01,universidad tecnológica nacional,2020/11/26,diseño de imagen y sonido,,los molinos,-1
112,tiffany molina,f,,brianduncan@hotmail.com,1948/12/07,universidad tecnológica nacional,2020/11/12,contador público ,,algarrobal abajo,-1
113,elizabeth hickman,f,,rachelyang@gmail.com,1913/10/27,universidad nacional de jujuy,2020/09/30,diseño industrial,,la lucila del mar,-1
114,julia lopez,f,,kray@gmail.com,2002/12/03,universidad tecnológica nacional,2020/11/26,farmacia,,blanca grande,-1
115,benjamin hernandez,m,,andrew91@hotmail.com,2009/07/27,universidad nacional de jujuy,2020/09/12,licenciatura en ciencias ambientales,,comandante leal,-1
116,benjamin moore,m,,richardsonashley@gmail.com,1928/10/07,universidad tecnológica nacional,2020/10/10,agronomía,,cailomuta,-1
117,jesse cohen,m,,anguyen@yahoo.com,2014/06/14,universidad nacional de jujuy,2020/10/28,licenciatura en gestión de agroalimentos,,kilmetro 165,-1
118,mark greer,m,,tstanley@hotmail.com,1993/12/21,universidad nacional de jujuy,2020/11/08,agronomía,,estacion general arenales,-1
119,katie hamilton,f,,tthompson@gmail.com,1971/10/02,universidad nacional de jujuy,2020/10/09,técnico para bioterios ,,alto del molle,-1
120,steven sexton,m,,hendersonlinda@hotmail.com,1955/03/14,universidad tecnológica nacional,2021/01/25,diseño de imagen y sonido,,aero club canal,-1
121,margaret johnson,f,,rioskevin@yahoo.com,2019/06/06,universidad tecnológica nacional,2020/10/22,farmacia,,colonia sere,-1
122,john smith,m,,vegajuan@yahoo.com,1969/06/06,universidad tecnológica nacional,2020/10/27,licenciatura en ciencias ambientales,,azteazu,-1
123,paul johnson,m,,emilydonaldson@hotmail.com,1983/02/19,universidad tecnológica nacional,2020/11/11,licenciatura en ciencia política ,,carbometal,-1
124,jeffrey le,m,,amandadavis@hotmail.com,1914/03/09,universidad nacional de jujuy,2020/10/26,licenciatura en ciencia y tecnología de alimentos,,arroyo grande,-1
125,jessica ruiz,f,,taylor07@hotmail.com,1949/01/17,universidad nacional de jujuy,2020/11/12,medicina,,bañadito viejo,-1
126,leah williams,f,,trevinokenneth@gmail.com,2000/07/15,universidad tecnológica nacional,2021/01/02,actuario ,,cabaña el cisne,-1
127,zachary hurley,m,,john64@gmail.com,2007/11/05,universidad tecnológica nacional,2020/10/25,ingeniería mecánica,,ambrosio p lezica,-1
128,isabella gibson,f,,luis27@gmail.com,1999/10/26,universidad tecnológica nacional,2020/11/22,licenciatura en administración ,,cazon,-1
129,jennifer crawford,f,,vross@gmail.com,1946/07/30,universidad nacional de jujuy,2020/12/19,ingeniería electrónica,,guillermo e hudson,-1
130,michele roman,f,,mcintyrerichard@hotmail.com,2019/08/23,universidad nacional de jujuy,2020/10/31,actuario ,,aromos,-1
131,stephanie dunn,f,,thompsonpeter@gmail.com,1997/08/20,universidad nacional de jujuy,2020/11/07,actuario ,,colonia florencia,-1
132,mark estrada,m,,collin60@yahoo.com,1979/01/14,universidad tecnológica nacional,2020/09/06,bioquímica,,dock sud,-1
133,hunter buck,m,,wdudley@gmail.com,1972/08/24,universidad tecnológica nacional,2020/10/01,actuario ,,longchamps,-1
134,christine huerta,f,,justin29@gmail.com,1945/05/31,universidad tecnológica nacional,2021/01/12,medicina,,el potrero,-1
135,tiffany olson,f,,zwalker@gmail.com,1932/10/25,universidad nacional de jujuy,2021/01/05,licenciatura en musicoterapia,,agote,-1
136,christopher miller,m,,erobinson@gmail.com,1999/10/30,universidad nacional de jujuy,2020/11/12,ingeniería mecánica,,azara,-1
137,felicia bautista,f,,robert75@hotmail.com,1946/09/18,universidad tecnológica nacional,2020/12/18,diseño industrial,,casablanca,-1
138,david yu,m,,jwillis@yahoo.com,2008/12/19,universidad tecnológica nacional,2020/12/30,diseño de imagen y sonido,,villa hipodromo,-1
139,ronnie davis,m,,zjones@hotmail.com,1993/10/31,universidad nacional de jujuy,2020/10/08,licenciatura en ciencias biológicas,,colonia hinojo,-1
140,connie floyd,f,,tamarahorton@hotmail.com,1976/04/16,universidad nacional de jujuy,2020/12/25,ciencias veterinarias,,el espinillo,-1
141,maria hale,f,,friedmankristen@hotmail.com,1974/07/08,universidad tecnológica nacional,2020/11/20,licenciatura en musicoterapia,,los cardos,-1
142,katelyn white,f,,jaimerivers@gmail.com,1981/04/24,universidad tecnológica nacional,2020/11/11,licenciatura en ciencias biológicas,,carrizales,-1
143,mark cook,m,,kellymartinez@yahoo.com,1916/10/23,universidad tecnológica nacional,2020/09/15,agronomía,,ingeniero de madrid,-1
144,margaret chavez,f,,iyoung@gmail.com,1945/03/28,universidad tecnológica nacional,2021/01/16,ingeniería electrónica,,alto verde,-1
145,joseph cabrera,m,,qnavarro@hotmail.com,1942/01/26,universidad nacional de jujuy,2021/01/30,técnico para bioterios ,,aristia,-1
146,tammy ortiz,f,,johnsondouglas@hotmail.com,1932/03/08,universidad nacional de jujuy,2021/01/26,licenciatura en relaciones del trabajo ,,agua colorada,-1
147,david archer,m,,marioking@gmail.com,1990/11/15,universidad nacional de jujuy,2020/10/26,licenciatura en ciencias ambientales,,alamos,-1
148,malik ball,m,,zaguilar@gmail.com,1911/09/23,universidad tecnológica nacional,2020/11/12,licenciatura en producción de bioimagenes,,villa adelina,-1
149,mike kim,m,,brownzachary@gmail.com,1920/08/14,universidad tecnológica nacional,2020/12/30,licenciatura en ciencias geológicas,,valle hondo,-1
150,emma jackson,f,,mackamanda@yahoo.com,1983/10/07,universidad tecnológica nacional,2020/09/04,licenciatura en musicoterapia,,kilometro 125,-1
151,jeffrey sandoval,m,,tammy71@hotmail.com,1962/09/16,universidad tecnológica nacional,2020/09/04,ingeniería mecánica,,perez,-1
152,alyssa nelson,f,,kennethjackson@yahoo.com,1960/02/14,universidad nacional de jujuy,2020/11/01,ingeniería en informática,,baigorrita,-1
153,leonard peterson,m,,christopherwilson@yahoo.com,1969/03/08,universidad nacional de jujuy,2021/01/08,licenciatura en administración ,,abalo,-1
154,brian moore,m,,robert72@hotmail.com,1996/09/26,universidad nacional de jujuy,2020/09/26,ingeniería electrónica,,arroyo guilaia,-1
155,betty bishop,f,,kristen05@yahoo.com,1982/07/14,universidad tecnológica nacional,2020/10/30,licenciatura en kinesiología y fisiatría,,agrelo,-1
156,tammy petersen,f,,acarter@gmail.com,2003/01/31,universidad tecnológica nacional,2020/12/26,licenciatura en ciencias geológicas,,caminera samborombon,-1
157,justin lopez,m,,lauragriffith@yahoo.com,2000/10/08,universidad tecnológica nacional,2020/09/30,arquitectura,,el trebol,-1
158,megan booker,f,,kingchase@gmail.com,1954/06/13,universidad tecnológica nacional,2020/09/02,licenciatura en planificación y diseño del paisaje,,arbol solo,-1
159,jose ewing,m,,zblankenship@gmail.com,1986/02/20,universidad tecnológica nacional,2020/11/01,licenciatura en administración ,,alizal,-1
160,tiffany bates,f,,grichards@gmail.com,2007/07/10,universidad tecnológica nacional,2020/11/26,licenciatura en terapia ocupacional,,cascada,-1
161,russell gomez,m,,rogersdouglas@hotmail.com,1962/06/18,universidad tecnológica nacional,2020/12/06,licenciatura en ciencias geológicas,,boliche lata,-1
162,cassandra turner,f,,andrewrodriguez@hotmail.com,1985/01/29,universidad nacional de jujuy,2020/11/09,ingeniería mecánica,,colonia lote 12,-1
163,matthew jensen,m,,erinmcclain@hotmail.com,1948/10/30,universidad nacional de jujuy,2020/10/06,agronomía,,funke,-1
164,danielle wilson,f,,robinbranch@hotmail.com,1922/12/19,universidad nacional de jujuy,2020/11/14,técnico para bioterios ,,agustin mosconi,-1
165,brian reese,m,,bryantpatrick@yahoo.com,1968/02/03,universidad nacional de jujuy,2020/12/15,ciencias veterinarias,,colonia campo piaggio,-1
166,desiree edwards,f,,tdodson@hotmail.com,1908/01/03,universidad tecnológica nacional,2020/12/21,licenciatura en ciencia política ,,acostilla,-1
167,thomas thompson,m,,amy82@hotmail.com,1951/12/15,universidad tecnológica nacional,2021/01/15,técnico para bioterios ,,amalia,-1
168,rachel torres,f,,kcox@gmail.com,2012/02/03,universidad nacional de jujuy,2021/01/12,licenciatura en terapia ocupacional,,el pingo,-1
169,wesley acosta,m,,linda85@yahoo.com,1965/10/17,universidad nacional de jujuy,2020/12/08,licenciatura en ciencias ambientales,,corbett,-1
170,samantha briggs,f,,mia12@hotmail.com,1907/09/18,universidad tecnológica nacional,2020/12/11,licenciatura en administración ,,san antonio de obligado,-1
171,stacey lee,f,,chavezmichael@hotmail.com,2002/06/21,universidad tecnológica nacional,2020/11/19,licenciatura en ciencias de la computación,,benitez,-1
172,kaitlyn case,f,,angela12@hotmail.com,2019/08/12,universidad nacional de jujuy,2020/10/23,ciencias veterinarias,,de bruyn,-1
173,austin smith,m,,tmcbride@gmail.com,1947/10/10,universidad nacional de jujuy,2021/01/10,diseño de imagen y sonido,,alabama,-1
174,katie cain,f,,brian98@gmail.com,1931/08/12,universidad tecnológica nacional,2020/10/08,contador público ,,cañada de gomez,-1
175,tony hall,m,,ksmith@hotmail.com,2003/03/25,universidad tecnológica nacional,2021/01/27,diseño industrial,,4 de noviembre,-1
176,troy martin,m,,kurtroberson@gmail.com,1915/03/15,universidad tecnológica nacional,2020/09/14,ingeniería en informática,,abra guazu,-1
177,christopher everett,m,,qlucas@hotmail.com,1934/10/04,universidad tecnológica nacional,2020/11/09,licenciatura en ciencias biológicas,,cazon,-1
178,dean brown,m,,zdoyle@yahoo.com,2019/03/01,universidad nacional de jujuy,2020/11/17,licenciatura en kinesiología y fisiatría,,cañadon lagarto,-1
179,jason rice,m,,stevenjames@yahoo.com,1985/05/26,universidad tecnológica nacional,2020/11/10,licenciatura en ciencias de la educación ,,apoyaco,-1
180,john williams,m,,cynthiacarlson@hotmail.com,1971/02/20,universidad tecnológica nacional,2021/01/29,farmacia,,angostura,-1
181,kristen brown,f,,ygomez@hotmail.com,1958/05/17,universidad tecnológica nacional,2020/12/24,licenciatura en ciencias geológicas,,alvarez,-1
182,heather small,f,,brookskrystal@hotmail.com,1952/01/25,universidad nacional de jujuy,2020/12/25,licenciatura en ciencias ambientales,,longchamps,-1
183,mrs. crystal miller,f,,andrewthompson@hotmail.com,1906/03/28,universidad tecnológica nacional,2020/09/26,licenciatura en terapia ocupacional,,arroyo corralito,-1
184,julie wilson,f,,baileybrianna@yahoo.com,1963/10/02,universidad nacional de jujuy,2020/12/20,diseño industrial,,el rincon,-1
185,leslie harris,f,,ericalewis@gmail.com,2013/10/11,universidad tecnológica nacional,2020/12/16,ingeniería electrónica,,16 de julio,-1
186,amy warner,f,,robertphelps@hotmail.com,1966/04/29,universidad tecnológica nacional,2020/11/02,medicina,,arana,-1
187,jennifer schroeder,f,,ebraun@hotmail.com,1992/02/13,universidad tecnológica nacional,2020/12/09,licenciatura en psicología,,agua linda,-1
188,adrienne jackson,f,,linda76@gmail.com,1990/12/29,universidad nacional de jujuy,2020/10/15,bioquímica,,bella vista,-1
189,sydney jackson,f,,austinhannah@gmail.com,1943/08/18,universidad tecnológica nacional,2020/12/25,actuario ,,kilometro 47,-1
190,jason austin,m,,cooperchelsea@gmail.com,1948/09/17,universidad tecnológica nacional,2021/01/29,licenciatura en administración ,,ireneo portela,-1
191,jacob white,m,,david71@yahoo.com,1918/04/21,universidad tecnológica nacional,2020/09/14,licenciatura en administración ,,cara mala,-1
192,dylan brown,m,,heidihuang@gmail.com,1955/07/28,universidad tecnológica nacional,2020/12/07,ciencias veterinarias,,villa lerga,-1
193,kristin johnson,f,,tanyacompton@hotmail.com,1941/05/13,universidad nacional de jujuy,2020/09/28,licenciatura en kinesiología y fisiatría,,baños lunlunta,-1
