university,career,inscription_date,last_name,first_name,gender,age,postal_code,location,email,birth_date
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/12/29,cassandra mora md,,f,0,,empalme,qmclaughlin@hotmail.com,2018/09/04
universidad tecnológica nacional,contador público ,2020/09/21,stacey case,,f,0,,alto nuestra señora del valle,greenhoward@hotmail.com,1959/02/02
universidad tecnológica nacional,diseño industrial,2020/09/24,jason roberts,,m,0,,arroyo pareja,david84@hotmail.com,1931/03/18
universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/23,marie schwartz,,f,0,,apeadero quiroga,mosleydavid@hotmail.com,1965/10/21
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/12/24,julie curtis,,f,0,,alianza,ellisanthony@gmail.com,1945/04/20
universidad tecnológica nacional,arquitectura,2020/12/24,chelsea whitaker,,f,0,,cañadon chileno,nicolegolden@hotmail.com,2005/02/19
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/12/08,julie herrera,,f,0,,empalme san carlos,martincharles@hotmail.com,2004/11/06
universidad tecnológica nacional,licenciatura en sociología ,2020/09/02,ryan bowen,,m,0,,barrio carosio,tyrone84@hotmail.com,1980/03/19
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021/01/07,mark hernandez,,m,0,,nonogasta,pattersonstephanie@yahoo.com,1953/09/22
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/06,jessica richardson,,f,0,,bajo de las palomas,hansondavid@gmail.com,1971/04/03
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/12/24,cameron lynch,,m,0,,calderon,kentbrandon@hotmail.com,1906/12/03
universidad tecnológica nacional,licenciatura en administración ,2020/09/09,emily jones,,f,0,,agua blanca,monicabeasley@yahoo.com,1984/07/13
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/10/06,julian green,,m,0,,paso de los andes,sgentry@gmail.com,2016/05/16
universidad tecnológica nacional,contador público ,2020/09/24,dennis hurst,,m,0,,colonia reina margarita,rebecca05@hotmail.com,1952/07/04
universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/16,chelsea white,,f,0,,leubuco,tina40@gmail.com,1938/06/29
universidad tecnológica nacional,arquitectura,2020/12/29,antonio patel,,m,0,,bosques,irodriguez@gmail.com,1930/03/13
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/11/17,tyler reed,,m,0,,cuenca,xhernandez@hotmail.com,1918/12/06
universidad tecnológica nacional,diseño de imagen y sonido,2020/10/21,emily hall,,f,0,,dina huapi,vicki56@yahoo.com,1941/10/08
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021/01/08,javier cobb dvm,,m,0,,alejandro petion,loriford@yahoo.com,1912/07/28
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/08,christina porter,,f,0,,pozo navagan,meltonstephen@hotmail.com,1984/11/23
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/01,jessica mccall,,f,0,,chañarcito,brianrobinson@hotmail.com,2014/05/31
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/24,jared larson,,m,0,,carbometal,taylor96@gmail.com,1994/09/25
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/01,darren lee md,,m,0,,arroyo palmar,evanskatherine@yahoo.com,1968/08/14
universidad tecnológica nacional,bioquímica,2020/10/28,jay conway,,m,0,,colonia la oracion,karenmendoza@yahoo.com,1998/08/13
universidad tecnológica nacional,contador público ,2020/12/13,jon gordon,,m,0,,bajastine,agonzalez@yahoo.com,1960/04/20
universidad tecnológica nacional,técnico para bioterios ,2020/10/03,anthony johnson,,m,0,,encina,eryan@hotmail.com,1915/10/03
universidad tecnológica nacional,licenciatura en psicología,2020/09/11,greg wells,,m,0,,claudio c molina,trodriguez@hotmail.com,1938/10/24
universidad tecnológica nacional,diseño de imagen y sonido,2020/09/29,aaron vance,,m,0,,campo medina,dnavarro@hotmail.com,1927/11/02
universidad tecnológica nacional,ingeniería en informática,2021/01/16,dale martinez,,m,0,,13 de enero,pstanton@hotmail.com,2005/08/11
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/29,dale huynh,,m,0,,colonia matilde,wsingh@hotmail.com,1991/04/08
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/25,timothy norman,,m,0,,el jumeal,tnichols@yahoo.com,1929/04/24
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/31,paul evans,,m,0,,aguada de la peña,zking@hotmail.com,1950/07/22
universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/05,christian sanders,,m,0,,coronel charlone,fwiggins@yahoo.com,1984/02/01
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/09,nicole wells,,f,0,,barlett,gailunderwood@yahoo.com,1918/12/26
universidad tecnológica nacional,licenciatura en sociología ,2020/09/12,george thompson,,m,0,,azul,andrewsnyder@hotmail.com,1939/01/30
universidad tecnológica nacional,diseño de imagen y sonido,2020/11/26,joseph wall,,m,0,,los molinos,gtucker@yahoo.com,1948/10/01
universidad tecnológica nacional,contador público ,2020/11/12,tiffany molina,,f,0,,algarrobal abajo,brianduncan@hotmail.com,1948/12/07
universidad tecnológica nacional,farmacia,2020/11/26,julia lopez,,f,0,,blanca grande,kray@gmail.com,2002/12/03
universidad tecnológica nacional,agronomía,2020/10/10,benjamin moore,,m,0,,cailomuta,richardsonashley@gmail.com,1928/10/07
universidad tecnológica nacional,diseño de imagen y sonido,2021/01/25,steven sexton,,m,0,,aero club canal,hendersonlinda@hotmail.com,1955/03/14
universidad tecnológica nacional,farmacia,2020/10/22,margaret johnson,,f,0,,colonia sere,rioskevin@yahoo.com,2019/06/06
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/10/27,john smith,,m,0,,azteazu,vegajuan@yahoo.com,1969/06/06
universidad tecnológica nacional,licenciatura en ciencia política ,2020/11/11,paul johnson,,m,0,,carbometal,emilydonaldson@hotmail.com,1983/02/19
universidad tecnológica nacional,actuario ,2021/01/02,leah williams,,f,0,,cabaña el cisne,trevinokenneth@gmail.com,2000/07/15
universidad tecnológica nacional,ingeniería mecánica,2020/10/25,zachary hurley,,m,0,,ambrosio p lezica,john64@gmail.com,2007/11/05
universidad tecnológica nacional,licenciatura en administración ,2020/11/22,isabella gibson,,f,0,,cazon,luis27@gmail.com,1999/10/26
universidad tecnológica nacional,bioquímica,2020/09/06,mark estrada,,m,0,,dock sud,collin60@yahoo.com,1979/01/14
universidad tecnológica nacional,actuario ,2020/10/01,hunter buck,,m,0,,longchamps,wdudley@gmail.com,1972/08/24
universidad tecnológica nacional,medicina,2021/01/12,christine huerta,,f,0,,el potrero,justin29@gmail.com,1945/05/31
universidad tecnológica nacional,diseño industrial,2020/12/18,felicia bautista,,f,0,,casablanca,robert75@hotmail.com,1946/09/18
universidad tecnológica nacional,diseño de imagen y sonido,2020/12/30,david yu,,m,0,,villa hipodromo,jwillis@yahoo.com,2008/12/19
universidad tecnológica nacional,licenciatura en musicoterapia,2020/11/20,maria hale,,f,0,,los cardos,friedmankristen@hotmail.com,1974/07/08
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/11,katelyn white,,f,0,,carrizales,jaimerivers@gmail.com,1981/04/24
universidad tecnológica nacional,agronomía,2020/09/15,mark cook,,m,0,,ingeniero de madrid,kellymartinez@yahoo.com,1916/10/23
universidad tecnológica nacional,ingeniería electrónica,2021/01/16,margaret chavez,,f,0,,alto verde,iyoung@gmail.com,1945/03/28
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/11/12,malik ball,,m,0,,villa adelina,zaguilar@gmail.com,1911/09/23
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/30,mike kim,,m,0,,valle hondo,brownzachary@gmail.com,1920/08/14
universidad tecnológica nacional,licenciatura en musicoterapia,2020/09/04,emma jackson,,f,0,,kilometro 125,mackamanda@yahoo.com,1983/10/07
universidad tecnológica nacional,ingeniería mecánica,2020/09/04,jeffrey sandoval,,m,0,,perez,tammy71@hotmail.com,1962/09/16
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/10/30,betty bishop,,f,0,,agrelo,kristen05@yahoo.com,1982/07/14
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/26,tammy petersen,,f,0,,caminera samborombon,acarter@gmail.com,2003/01/31
universidad tecnológica nacional,arquitectura,2020/09/30,justin lopez,,m,0,,el trebol,lauragriffith@yahoo.com,2000/10/08
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/02,megan booker,,f,0,,arbol solo,kingchase@gmail.com,1954/06/13
universidad tecnológica nacional,licenciatura en administración ,2020/11/01,jose ewing,,m,0,,alizal,zblankenship@gmail.com,1986/02/20
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/11/26,tiffany bates,,f,0,,cascada,grichards@gmail.com,2007/07/10
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/06,russell gomez,,m,0,,boliche lata,rogersdouglas@hotmail.com,1962/06/18
universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/21,desiree edwards,,f,0,,acostilla,tdodson@hotmail.com,1908/01/03
universidad tecnológica nacional,técnico para bioterios ,2021/01/15,thomas thompson,,m,0,,amalia,amy82@hotmail.com,1951/12/15
universidad tecnológica nacional,licenciatura en administración ,2020/12/11,samantha briggs,,f,0,,san antonio de obligado,mia12@hotmail.com,1907/09/18
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/11/19,stacey lee,,f,0,,benitez,chavezmichael@hotmail.com,2002/06/21
universidad tecnológica nacional,contador público ,2020/10/08,katie cain,,f,0,,cañada de gomez,brian98@gmail.com,1931/08/12
universidad tecnológica nacional,diseño industrial,2021/01/27,tony hall,,m,0,,4 de noviembre,ksmith@hotmail.com,2003/03/25
universidad tecnológica nacional,ingeniería en informática,2020/09/14,troy martin,,m,0,,abra guazu,kurtroberson@gmail.com,1915/03/15
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/09,christopher everett,,m,0,,cazon,qlucas@hotmail.com,1934/10/04
universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/11/10,jason rice,,m,0,,apoyaco,stevenjames@yahoo.com,1985/05/26
universidad tecnológica nacional,farmacia,2021/01/29,john williams,,m,0,,angostura,cynthiacarlson@hotmail.com,1971/02/20
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/24,kristen brown,,f,0,,alvarez,ygomez@hotmail.com,1958/05/17
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/09/26,mrs. crystal miller,,f,0,,arroyo corralito,andrewthompson@hotmail.com,1906/03/28
universidad tecnológica nacional,ingeniería electrónica,2020/12/16,leslie harris,,f,0,,16 de julio,ericalewis@gmail.com,2013/10/11
universidad tecnológica nacional,medicina,2020/11/02,amy warner,,f,0,,arana,robertphelps@hotmail.com,1966/04/29
universidad tecnológica nacional,licenciatura en psicología,2020/12/09,jennifer schroeder,,f,0,,agua linda,ebraun@hotmail.com,1992/02/13
universidad tecnológica nacional,actuario ,2020/12/25,sydney jackson,,f,0,,kilometro 47,austinhannah@gmail.com,1943/08/18
universidad tecnológica nacional,licenciatura en administración ,2021/01/29,jason austin,,m,0,,ireneo portela,cooperchelsea@gmail.com,1948/09/17
universidad tecnológica nacional,licenciatura en administración ,2020/09/14,jacob white,,m,0,,cara mala,david71@yahoo.com,1918/04/21
universidad tecnológica nacional,ciencias veterinarias,2020/12/07,dylan brown,,m,0,,villa lerga,heidihuang@gmail.com,1955/07/28
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/13,andrew mcdonald,,m,0,,san marcelo,megangray@yahoo.com,1933/05/16
universidad tecnológica nacional,licenciatura en psicología,2020/10/12,karen wagner,,f,0,,las hermanas,hayesmary@gmail.com,1930/09/24
universidad tecnológica nacional,ingeniería mecánica,2021/01/11,christopher rivera,,m,0,,dos hermanos,dawn99@hotmail.com,1914/02/25
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021/01/20,holly obrien,,f,0,,grutly,joanfrost@gmail.com,1943/08/13
universidad tecnológica nacional,licenciatura en psicología,2020/09/28,amy hanson,,f,0,,12 de octubre,chelseachavez@gmail.com,2018/01/24
universidad tecnológica nacional,ingeniería mecánica,2020/09/06,heather pearson,,f,0,,abra del tafi,regina45@yahoo.com,2000/12/12
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/26,chase rodriguez,,m,0,,el carbalino,daniel30@yahoo.com,1971/06/04
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/11/22,debra taylor,,f,0,,candelaria sud,donnawalker@gmail.com,1939/09/08
universidad tecnológica nacional,ciencias veterinarias,2020/11/25,tina garcia,,f,0,,ampacama,zking@yahoo.com,2008/08/22
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/17,lisa nolan,,f,0,,dho,christine59@gmail.com,1924/02/09
universidad tecnológica nacional,licenciatura en artes,2021/01/13,jack roberts,,m,0,,lehmann,krystal98@gmail.com,1947/09/24
universidad tecnológica nacional,ingeniería mecánica,2020/10/09,brandon rhodes,,m,0,,gobernador lanusse,amandascott@yahoo.com,1941/06/07
universidad tecnológica nacional,licenciatura en artes,2020/09/21,april swanson,,f,0,,campo el bermejo,lopeznicole@yahoo.com,1947/06/22
universidad tecnológica nacional,agronomía,2020/10/19,edward randolph,,m,0,,estacion saguier,jleon@gmail.com,1989/05/05
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/10/28,jacob cruz,,m,0,,drabble,stonemelissa@yahoo.com,1944/07/19
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/04,pamela cherry,,f,0,,cañada la rica,thomashill@hotmail.com,1959/09/09
universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/19,mark smith,,m,0,,gobernador crespo,bgrimes@hotmail.com,1964/06/04
universidad tecnológica nacional,arquitectura,2020/12/02,denise stephens,,f,0,,barcena,naustin@yahoo.com,1941/02/16
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/04,brittany boyd,,f,0,,moron,gcunningham@hotmail.com,1987/04/24
universidad tecnológica nacional,ingeniería mecánica,2021/01/28,christina moses,,f,0,,fortin chaco,amymiller@hotmail.com,1960/06/16
universidad tecnológica nacional,arquitectura,2020/12/10,thomas cook,,m,0,,campana,david32@yahoo.com,1917/08/17
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/10/21,debra perez,,f,0,,chimpay,dawsonleroy@gmail.com,1943/11/10
universidad tecnológica nacional,licenciatura en psicología,2020/09/29,amy houston,,f,0,,alto del saladillo,cathy97@hotmail.com,2007/10/21
universidad tecnológica nacional,licenciatura en ciencia política ,2021/01/23,john reeves,,m,0,,banfield,melissaodonnell@yahoo.com,1983/02/13
universidad tecnológica nacional,bioquímica,2020/11/04,stacy smith dds,,f,0,,bravo del dos,jodihill@hotmail.com,1995/09/29
universidad tecnológica nacional,arquitectura,2020/11/12,william jacobson,,m,0,,colonia berlin,robert57@gmail.com,2015/12/29
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/09/16,julie christensen,,f,0,,algarrobal puisoye,billy46@yahoo.com,1946/04/24
universidad tecnológica nacional,licenciatura en sociología ,2020/09/08,amy shah,,f,0,,alamo,michael95@yahoo.com,1937/09/27
universidad tecnológica nacional,ingeniería mecánica,2020/09/13,thomas sheppard,,m,0,,el perdido est jose guisasola,fwilson@yahoo.com,1938/06/27
universidad tecnológica nacional,bioquímica,2020/12/05,lisa hartman,,f,0,,20 de septiembre,joshua37@gmail.com,1997/07/16
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/05,terry zimmerman,,f,0,,la ines,samuel35@yahoo.com,1968/01/08
universidad tecnológica nacional,bioquímica,2020/10/10,julie kim,,f,0,,argerich,cunninghammelissa@hotmail.com,1987/01/04
universidad tecnológica nacional,diseño de imagen y sonido,2020/11/19,mark cervantes md,,m,0,,balneario chapalco,josephthompson@gmail.com,1966/03/10
universidad tecnológica nacional,actuario ,2020/11/10,mckenzie lynch,,f,0,,colonia clara,randy39@hotmail.com,2002/01/25
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/02,christina green,,f,0,,isla gran malvina,christopherscott@yahoo.com,2004/04/25
universidad tecnológica nacional,contador público ,2020/09/21,daniel hubbard,,m,0,,balcarce,dukedominic@gmail.com,1968/07/05
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021/01/09,samantha maxwell,,f,0,,cataratas del iguazu,greenmark@gmail.com,1925/06/02
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/11/12,steven charles,,m,0,,cululu,kbeasley@gmail.com,1908/12/03
universidad tecnológica nacional,farmacia,2020/10/04,lisa dyer,,f,0,,barcala,yrosales@yahoo.com,1930/10/07
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/02,jessica hampton,,f,0,,gonzalez moreno,goodmanangela@gmail.com,1939/01/20
universidad tecnológica nacional,diseño industrial,2020/09/25,katie weber,,f,0,,barrio 1 de mayo,davidmckinney@yahoo.com,1923/12/14
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/09/18,kathy wright,,f,0,,bouquet,carpenteralex@gmail.com,2021/02/08
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/11/21,scott wells,,m,0,,la rosa,perryteresa@yahoo.com,1947/04/10
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/26,katie scott,,f,0,,berraondo,heather91@gmail.com,1916/03/29
universidad tecnológica nacional,medicina,2020/11/27,olivia hodges,,f,0,,cangrejillos,bmiller@gmail.com,1975/08/17
universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/11,glenda barnes,,f,0,,gente grande,bwilkins@gmail.com,1965/07/21
universidad tecnológica nacional,licenciatura en administración ,2020/10/11,michael wallace,,m,0,,aguas buenas,pinedaamanda@gmail.com,1981/12/02
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/12/14,lance williams,,m,0,,el duraznillo,katelynmartin@hotmail.com,2018/09/26
universidad tecnológica nacional,actuario ,2020/11/01,kimberly stewart,,f,0,,lierra adjemiro,stonemichael@gmail.com,1937/03/24
universidad tecnológica nacional,licenciatura en psicología,2021/01/21,michelle lewis,,f,0,,el porvenir,dwalker@hotmail.com,1984/09/13
universidad tecnológica nacional,actuario ,2020/10/02,michael frye,,m,0,,san isidro,edward10@gmail.com,1996/02/17
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/11/12,david pollard,,m,0,,el olivo,jjackson@hotmail.com,1919/03/15
universidad tecnológica nacional,técnico para bioterios ,2021/01/27,monica jennings,,f,0,,chovet,jonesandrea@yahoo.com,1911/06/15
universidad tecnológica nacional,licenciatura en psicología,2021/01/02,jennifer barton,,f,0,,arroyo manganga,frank11@yahoo.com,1929/05/03
universidad tecnológica nacional,diseño industrial,2020/09/14,theresa stuart,,f,0,,bajo guazu,carlsonbrett@gmail.com,1988/12/16
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/11/04,phillip woods,,m,0,,san antonio de obligado,sarah31@gmail.com,1933/10/17
universidad tecnológica nacional,bioquímica,2021/01/23,kaylee gonzalez,,f,0,,rio mayo,tami35@gmail.com,1925/11/27
universidad tecnológica nacional,arquitectura,2021/01/23,lacey johnson,,f,0,,colonia lote 12,sabrinahenry@yahoo.com,1948/02/01
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/15,angela russell,,f,0,,alfredo demarchi,pennyramirez@yahoo.com,1911/07/19
universidad tecnológica nacional,licenciatura en ciencias geológicas,2021/01/16,matthew sullivan,,m,0,,barrio emir ramon juarez,kristenpatterson@gmail.com,1957/04/17
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021/01/21,samantha jimenez,,f,0,,rincon de milberg,loweolivia@gmail.com,1918/03/01
universidad tecnológica nacional,bioquímica,2020/11/27,jorge jackson,,m,0,,dho,maryalexander@gmail.com,1912/12/07
universidad tecnológica nacional,licenciatura en artes,2020/10/19,dawn hodge,,f,0,,est jauregui va flandria,roger32@gmail.com,1925/04/13
universidad tecnológica nacional,licenciatura en sociología ,2021/01/18,nicholas carter,,m,0,,colonia duportal,david12@hotmail.com,1940/08/12
universidad tecnológica nacional,ingeniería en informática,2021/01/31,robert watson,,m,0,,alto grande,tammybaker@hotmail.com,1972/08/05
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/09/03,diana hamilton,,f,0,,colonia hernandarias,donald06@yahoo.com,1953/06/24
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/11/13,michael gay,,m,0,,centro comunitario cnia nue,peterbutler@yahoo.com,2016/12/19
universidad tecnológica nacional,ciencias veterinarias,2020/09/17,debra ford,,f,0,,el gualicho,pwallace@yahoo.com,1954/06/04
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/05,michael gomez,,m,0,,deferrari,jsullivan@hotmail.com,2013/04/10
universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/11/10,paul noble,,m,0,,balde de leyes,robert62@gmail.com,1978/06/04
universidad tecnológica nacional,licenciatura en ciencias biológicas,2021/01/26,miss lauren fuller,,f,0,,la union,kcastro@yahoo.com,1937/06/04
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/11,curtis waters md,,m,0,,las quintas,jamesparker@gmail.com,1931/07/19
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/09/25,charles long,,m,0,,hito 45,christopher73@hotmail.com,1948/04/08
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/09/10,tammy ewing,,f,0,,boca p 25,thomas90@gmail.com,1989/08/14
universidad tecnológica nacional,agronomía,2020/12/04,rebecca soto,,f,0,,chapuy,ethomas@hotmail.com,1960/01/06
universidad tecnológica nacional,licenciatura en administración ,2021/01/26,amy ross,,f,0,,arroyito,anitawilson@gmail.com,1937/04/09
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/06,micheal richardson,,m,0,,el campamento,sandersdouglas@gmail.com,1935/02/02
universidad tecnológica nacional,licenciatura en musicoterapia,2020/12/31,richard johnston,,m,0,,el carretero,alyssapratt@hotmail.com,1978/12/09
universidad tecnológica nacional,ingeniería electrónica,2021/01/13,john moore,,m,0,,berraondo,andreacrawford@hotmail.com,1996/02/21
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021/02/01,marilyn winters,,f,0,,gonzalez moreno,stephenclark@hotmail.com,1967/08/07
universidad tecnológica nacional,farmacia,2020/10/23,scott may,,m,0,,longchamps,roblesvictoria@hotmail.com,1925/08/22
universidad tecnológica nacional,bioquímica,2020/12/16,jennifer wilson,,f,0,,pellegrini,ysmith@hotmail.com,1935/03/24
universidad tecnológica nacional,ingeniería electrónica,2020/11/27,susan gentry,,f,0,,jose clemente paz,parkergabriela@yahoo.com,1963/01/11
universidad tecnológica nacional,diseño de imagen y sonido,2020/10/18,adam hughes,,m,0,,aguada grande,sharon01@hotmail.com,2017/09/23
universidad tecnológica nacional,licenciatura en musicoterapia,2020/11/04,david house,,m,0,,caseros,zandrews@hotmail.com,1986/01/07
universidad tecnológica nacional,licenciatura en sociología ,2020/09/15,allison roach,,f,0,,bombal,ochavez@yahoo.com,1963/08/29
universidad tecnológica nacional,bioquímica,2020/09/19,jeffrey phillips,,m,0,,kilometro 23,robert49@gmail.com,2003/08/02
universidad tecnológica nacional,contador público ,2020/10/31,kurt hill,,m,0,,aparzo,andersonsarah@yahoo.com,1913/08/18
universidad tecnológica nacional,diseño industrial,2020/09/20,debra carter,,f,0,,calderon,stevensrobert@hotmail.com,1914/07/27
universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/11/14,rebecca compton,,f,0,,algarrobo,xlopez@yahoo.com,1992/01/09
universidad tecnológica nacional,arquitectura,2020/12/18,hector king,,m,0,,gobernador benegas,fisherdenise@gmail.com,1909/08/17
